Column1	npu	freq	description	kind_of_property	unit	americanized	omop	omop label	additional computations	justification
102	NPU26470	2348517	Transferrin in Plasma 	mass concentration	gram per litre	gram per liter	8636	g/L		
103	NPU10167	2231161	Oxygen in Patient 	volume rate	litre per minute	liter per minute	8698	L/min		https://athena.ohdsi.org/search-terms/terms/8698
104	NPU10171	2021893	Cholesterol+ester; in LDL in Plasma fasting Patient	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
105	NPU27547	2003862	Thyrotropin in Plasma 	arbitrary substance concentration	10<sup>-3</sup> international unit per litre	10<sup>-3</sup> international unit per liter	44777561	[arb'U]/L		
106	NPU10506	1941969	Bacterium; nitrite producing in Urine 	arbitrary concentration		0	8749	umol/L		umol/L according to :https://www.analysefortegnelsen.dk/analyselistezoom.asp?Type=Andre&Lok=AUH&ID=NPU10506
107	NPU28289	1752100	Fibrin D-dimer in Plasma 	arbitrary substance concentration	(procedure defined unit)	(procedure defined unit)	44777663	mg{FEU}/L		The unit of measure for the Fibrin D-Dimer test (NPU28289) is mg FEU/L (milligrams of fibrinogen equivalent units per liter).: https://www.gentoftehospital.dk/afdelinger-og-klinikker/klinisk-biokemisk-afdeling/metodeblade/F/Fibrin%20D-Dimer%20(Plasma).pdf
108	NPU18415	1678269	Anion gap(incl. K+) in Plasma 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
109	NPU03963	1676891	Erythrocytes in Urine 	arbitrary concentration		0	9442	10*6/L	convert using the table	answer will be a number 0-3 which needs to be converted to 10*6/L. Source:https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Type=&Lok=&ID=NPU03963
110	NPU12518	1649247	Base excess in Plasma arterial Blood	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
111	NPU03404	1619895	Sedimentation reaction in Blood 	length	millimetre	millimetre	8588	mm		https://athena.ohdsi.org/search-terms/terms/8588
112	NPU02349	1549355	Hepatitis B virus s antigen in Plasma 	arbitrary concentration		0	45884084	positive		Hepatitis B virus surface antigen seen or not seen by https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Id=NPU02349
113	NPU27501	1502203	Troponin T; cardiac muscle in Plasma 	mass concentration	nanogram per litre	nanogram per liter	8725	ng/L		
114	NPU01943	1490748	Erythroblasts in Blood 	number concentration	10<sup>9</sup> per litre	billion cells per liter	44777588	10*9.{cellls}/L		
115	NPU19649	1466919	Human immunodeficiency virus 1+2 in Plasma 	arbitrary concentration		0	45884084	positive		%{positive}:According to:https://www.analysefortegnelsen.dk/analyselistezoom.asp?Type=&Lok=AUH&ID=NPU19649  
116	NPU19750	1364085	Creatine kinase MB in Plasma 	mass concentration	microgram per litre	microgram per liter	8748	ug/L		
117	NPU19788	1362593	Haptoglobin in Plasma 	mass concentration	gram per litre	gram per liter	8636	g/L		
118	NPU03835	1309204	Haemoglobin A1c in Haemoglobin Fe, Blood	substance fraction		0	9225	%{HbA1c}		%{HbA1c} The HbA1c (NPU03835), the measured value is reported as a percentage (%)https://kiap.dk/functions/pdf/iupac.php
119	NPU29055	1275787	Cholesterol+ester in Plasma 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
120	NPU21747	1249386	Erythrocyte antibody in Plasma 	arbitrary concentration		0	45884084	positive		This test is primarily qualitative (presence or absence of antibodies) according to :https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Type=&Lok=HEM&ID=NPU21747
121	NPU53989	1230712	Coagulation; surface-induced in Plasma 	time	second	second	8555	s		
122	NPU03978	1224678	Metamyelocytes in Blood 	number concentration	10<sup>9</sup> per litre	billion cells per liter	44777588	10*9.{cellls}/L		
123	NPU03976	1224277	Myelocytes in Blood 	number concentration	10<sup>9</sup> per litre	billion cells per liter	44777588	10*9.{cellls}/L		
124	NPU19579	1223009	Choriogonadotropin+beta-chain in Plasma 	arbitrary substance concentration	international unit per litre	international unit per liter	44777561	[arb'U]/L		
125	NPU27591	1208797	Troponin I; cardiac muscle in Plasma 	mass concentration	nanogram per litre	nanogram per liter	8725	ng/L		
126	NPU03995	1204203	Hydrogen ion in Plasma venous Blood	pH		0	8482	pH		pH according to https://www.analysefortegnelsen.dk/analyselistezoom.asp?Type=SKS&Lok=AUH&ID=NPU03995
127	NPU03944	1163605	Lactate in Plasma venous Blood	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
128	NPU17675	1160252	M-component in Plasma 	arbitrary concentration		0	8636	g/L		g/L, according to: https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Lok=AUH&Id=NPU17675
129	NPU03972	1117541	Blast cells in Blood 	number concentration	10<sup>9</sup> per litre	billion cells per liter	44777588	10*9.{cellls}/L		
130	NPU26678	1103792	Erythrocyte antigen in Erythrocytes Blood	category		0		#N/A	Blood group - use specific mapping of answers as specified in the schema matching file. 	In NPU there is a sungle test for both RH and ABO groups, in LOINC you need two answers
131	NPU03974	1084808	Promyelocytes in Blood 	number concentration	10<sup>9</sup> per litre	billion cells per liter	44777588	10*9.{cellls}/L		
132	NPU04014	1016973	Follitropin in Plasma 	arbitrary substance concentration	international unit per litre	international unit per liter	9254	/L		
133	NPU10762	1000480	Atypical cells in Blood 	number concentration	10<sup>9</sup> per litre	billion cells per liter	44777588	10*9.{cellls}/L		
134	NPU03768	999511	Zinc in Plasma 	substance concentration	micromole per litre	micromole per liter	8749	umol/L		
135	NPU21578	997008	Nitrite in Urine 	arbitrary concentration		0	45884084	positive		positive/negative - https://www.sundhed.dk/sundhedsfaglig/laegehaandbogen/undersoegelser-og-proever/klinisk-biokemi/urin/bakterier-nitrit-stix/
136	NPU01808	983023	Creatininium in Urine 	substance concentration	micromole per litre	micromole per liter	8749	umol/L		
137	NPU03278	981147	Protein in Plasma 	mass concentration	gram per litre	gram per liter	8636	g/L		
138	NPU12033	973580	Hepacivirus C antibody in Plasma 	arbitrary concentration		0	45884084	positive		positive or negative for Hepatitis C antibodies (HCV-Ab) by https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Id=NPU12033
139	NPU19947	959259	Cyclic citrullinated peptide antibody in Plasma 	arbitrary substance concentration	(procedure defined unit)	(procedure defined unit)	8810	10*3.[U]/L		The unit of measurement for the Cyklisk citrullineret peptid antistof (cyclic citrullinated peptide antibody, CCP) test, with the test code NPU19947, is kU/L (kilo-units per liter).: https://www.gentoftehospital.dk/afdelinger-og-klinikker/klinisk-biokemisk-afdeling/metodeblade/C/Cyclisk%20citrullineret%20peptid%20antistof%20(Plasma).pdf
140	NPU10029	948683	Carbon dioxide in Plasma venous Blood	gas tension	kilopascal	kilopascal	44777602	kPa		
141	NPU02618	947481	Lutropin in Plasma 	arbitrary substance concentration	international unit per litre	international unit per liter	9254	/L		https://athena.ohdsi.org/search-terms/terms/9254
142	NPU02409	944577	Hydrogen carbonate in Plasma arterial Blood	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
143	NPU03356	943224	Reticulocytes in Erythrocytes Blood	number fraction	10<sup>-3</sup>	10<sup>-3</sup>	9364	[mil_i]		
144	DNK35842	888262	Glucose in Plasma; venous blood fasting pt 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
145	NPU14566	885038	Transglutaminase antibody in Plasma 	arbitrary substance concentration	(procedure defined unit)	(procedure defined unit)	44777561	[arb'U]/L		https://www.sundhed.dk/sundhedsfaglig/laegehaandbogen/undersoegelser-og-proever/klinisk-biokemi/blodproever/transglutaminase-antistof-iga-igg-tga/
146	NPU19676	882459	Albumin in Urine 	mass concentration	gram per litre	gram per liter	8636	g/L		
147	NPU02780	838031	Methylmalonate in Plasma 	substance concentration	micromole per litre	micromole per liter	8749	umol/L		
148	NPU21531	832297	Glucose in Plasma venous Blood	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
149	DNK35895	809759	Triiodothyronine reaction; in plasma	arbitrary saturation		0	9260	[arb'U]		See https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Id=DNK35895
150	NPU03007	805490	Oxygen in Air specification	volume fraction		0	9230	%{oxygen}		%{oxygen}Oxygen Saturation/Fraction Inspired O2
151	NPU18247	776741	Prolactin in Plasma 	arbitrary substance concentration	10<sup>-3</sup> international unit per litre	10<sup>-3</sup> international unit per liter	9364	[mil_i]		
152	NPU17589	763110	Sedimentation reaction in Blood 	arbitrary length	(procedure defined unit)	(procedure defined unit)	8752	mm/h		https://www.gentoftehospital.dk/afdelinger-og-klinikker/klinisk-biokemisk-afdeling/metodeblade/S/Sedimentationsreaktion%20(Blod).pdf
153	NPU12501	740232	Oxygen in Plasma venous Blood	gas tension	kilopascal	kilopascal	44777602	kPa		
154	NPU27337	731455	Thyroxine binding capacity in Plasma 	relative substance concentration		0	9061	ug/dL{thyroxine}		ug/dL{thyroxine}
155	NPU01448	727013	Cancer antigen 125 in Plasma 	arbitrary substance concentration	(procedure defined unit)	(procedure defined unit)	44777561	[arb'U]/L		arb.U/L by https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Id=NPU01448
156	NPU17007	726840	Haemoglobin in Reticulocytes Blood	entitic amount-of-substance	femtomole	femtomole	9498	fmol		
157	NPU04708	720859	Plasmocytes in Blood 	number concentration	10<sup>9</sup> per litre	billion cells per liter	44777588	10*9.{cellls}/L		
158	NPU01684	719630	Coagulation; tissue factor-induced in Plasma 	reciprocal relative time		0	8523	{ratio}		by https://www.google.dk/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiA74rjz7WJAxVJKxAIHSYZDCEQFnoECBgQAQ&url=https%3A%2F%2Fwww.degruyter.com%2Fdocument%2Fdoi%2F10.1351%2Fpac199769051043%2Fpdf&usg=AOvVaw2q99obcL7ZH8Z7hKx1VJrb&opi=89978449
159	NPU19717	704569	Calprotectin in Faeces 	mass fraction	10<sup>-6</sup>	10<sup>-6</sup>	9653	10*-6.eq		https://athena.ohdsi.org/search-terms/terms/9653
160	NPU18410	703019	Cholesterol+ester/Cholesterol+ester; in HDL in Plasma 	substance ratio		0	8523	{ratio}		Ratio according to: https://labportal.rh.dk/Labkaoversigt.asp?Page=132
161	NPU19865	669160	Myoglobin in Plasma 	mass concentration	microgram per litre	microgram per liter	8748	ug/L		
162	NPU03543	668848	Testosterone in Plasma 	substance concentration	nanomole per litre	nanomole per liter	8736	nmol/L		
163	NPU28402	658970	Connective tissue disease related antibody in Plasma 	arbitrary substance concentration	(procedure defined unit)	(procedure defined unit)	8523	{ratio}		https://www.gentoftehospital.dk/afdelinger-og-klinikker/klinisk-biokemisk-afdeling/metodeblade/B/Bindev%C3%A6vssygdom-relateret-AB%20%5BANA%5D%20(Plasma).pdf
164	NPU02346	653476	Hepatitis B virus c antibody in Plasma 	arbitrary concentration		0	45884084	positive		presence - see https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Id=NPU02346
165	NPU10199	650935	Oxygen in Haemoglobin Fe, O<sub>2</sub>-binding, venous Blood	saturation		0	720868	{fraction}		https://www.gentoftehospital.dk/afdelinger-og-klinikker/klinisk-biokemisk-afdeling/metodeblade/O/Oxygen%20(O2);m%C3%A6tn.%20[Saturation]%20(ABL)%20(Blod).pdf
166	NPU03695	609462	Urine in Patient 	volume	millilitre	milliliter	8587	mL		
167	NPU01972	597791	Estradiol in Plasma 	substance concentration	nanomole per litre	nanomole per liter	8736	nmol/L		
168	NPU27297	595231	Chorionic Gonadotropin in Plasma 	arbitrary substance concentration	international unit per litre	international unit per liter	9254	/L		
169	NPU01580	593666	Choriogonadotropin beta-chain in Plasma 	arbitrary substance concentration	international unit per litre	international unit per liter	9254	/L		
170	NPU01446	577765	Calcium ion in Plasma 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
171	NPU09356	564219	Urate in Plasma 	substance concentration	micromole per litre	micromole per liter	8749	umol/L		
172	NPU19606	556633	Immunoglobulin kappa-Chains in Plasma 	mass concentration	milligram per litre	milligram per liter	8751	mg/L		
173	NPU19607	555330	Immunoglobulin lambda-Chains in Plasma 	mass concentration	milligram per litre	milligram per liter	8751	mg/L		
174	NPU12481	539196	Carbon dioxide in Plasma capillary Blood	gas tension	kilopascal	kilopascal	44777602	kPa		
175	NPU12490	537325	Hydrogen ion in Plasma capillary Blood	pH		0	8482	pH		pH according to https://www.analysefortegnelsen.dk/AnalyselisteZoom.asp?Type=&Lok=HEM&Id=NPU12490
176	NPU02187	534196	Glucose in Blood 	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
177	NPU02195	523232	Glucose in Plasma venous Blood, fasting Patient	substance concentration	millimole per litre	millimole per liter	8753	mmol/L		
