sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:unit,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer;;;;;
NPU03695,Urine in Patient volume,609462,,millilitre,0.57,APPROVED,EQUAL,Tomer Sagi,1727447605326,3036603,Volume of Urine,Measurement,MAPS_TO,,Tomer Sagi,1727447271614,;;;;;
NPU28820,Carbon dioxide in Plasma central venous blood gas tension,117492,,kilopascal,0.58,APPROVED,EQUAL,Tomer Sagi,1727447734865,1616989,Carbon dioxide [Partial pressure] in Central venous blood,Measurement,MAPS_TO,,<auto>,1727445380142,;;;;;
NPU17139,Carbon dioxide in Plasma cord Blood; arterial Blood gas tension,173797,,kilopascal,0.54,APPROVED,EQUAL,Tomer Sagi,1727447742099,3003932,Carbon dioxide [Partial pressure] in Arterial cord blood,Measurement,MAPS_TO,,<auto>,1727445381069,;;;;
NPU28829,Oxygen in Plasma central venous blood gas tension,116774,,kilopascal,0.69,APPROVED,EQUAL,Tomer Sagi,1727450468999,1616654,Oxygen [Partial pressure] in Central venous blood,Measurement,MAPS_TO,,Tomer Sagi,1727450462439,;;;;;
NPU27342,Follitropin in Plasma arbitrary substance concentration,65507,,international unit per litre,0.42,APPROVED,EQUAL,Tomer Sagi,1727450512887,3023323,Follitropin [Units/volume] in Serum or Plasma,Measurement,MAPS_TO,,Tomer Sagi,1727450509163,;;;;;
NPU17140,Carbon dioxide in Plasma cord Blood; venous Blood gas tension,173034,,kilopascal,0.52,APPROVED,EQUAL,Tomer Sagi,1727450562218,3007696,Carbon dioxide [Partial pressure] in Venous cord blood,Measurement,MAPS_TO,,<auto>,1727445416004,;;;;
NPU27297,Chorionic Gonadotropin in Plasma arbitrary substance concentration,595231,,international unit per litre,0.44,APPROVED,EQUAL,Tomer Sagi,1727450611228,3018171,Choriogonadotropin [Units/volume] in Serum or Plasma,Measurement,MAPS_TO,,Tomer Sagi,1727450609609,;;;;;
NPU12181,Human hepatitis A virus antibody in Plasma arbitrary concentration,194890,,,0.35,APPROVED,EQUAL,Tomer Sagi,1727450940482,3034400,Hepatitis A virus Ab [Units/volume] in Serum,Measurement,MAPS_TO,,Tomer Sagi,1727450916758,;;;;;
NPU59144,Severe acute respiratory syndrome coronavirus 2 antibody in Plasma arbitrary concentration,87818,,,0.41,APPROVED,EQUAL,Tomer Sagi,1727964911081,586515,SARS-CoV-2 (COVID-19) Ab [Presence] in Serum or Plasma by Immunoassay,Measurement,MAPS_TO,,Tomer Sagi,1727964909306,;;;;;
NPU28824,Hydrogen ion in Plasma central venous blood pH,116763,,,0.58,APPROVED,EQUAL,Tomer Sagi,1729954399513,1616438,pH of Central venous blood,Measurement,MAPS_TO,By https://labportal.rh.dk/LabPortal.asp?Mode=View&Id=6974,<auto>,1727445420865,;;;;;
NPU03028,Parathyroid hormone in Plasma substance concentration,3253629,,picomole per litre,0.46,APPROVED,EQUAL,Tomer Sagi,1727451796326,3053156,Parathyrin [Moles/volume] in Serum or Plasma --baseline,Measurement,MAPS_TO,,<auto>,1727445421791,;;;;;
NPU03277,Protein in Patient Urine mass rate,193999,,gram per day,0.45,APPROVED,EQUAL,Tomer Sagi,1727452675799,3020876,Protein [Mass/time] in 24 hour Urine,Measurement,MAPS_TO,,Tomer Sagi,1727452674307,;;;;;
NPU19820,Immunoglobulin G4 in Plasma mass concentration,65256,,gram per litre,0.38,APPROVED,EQUAL,Tomer Sagi,1727452793883,3024980,IgG subclass 4 [Mass/volume] in Serum,Measurement,MAPS_TO,,Tomer Sagi,1727452791772,;;;;;
NPU13075,Cladosporium herbarum antibody in Plasma arbitrary substance concentration,80738,,(procedure defined unit),0.36,APPROVED,EQUAL,Tomer Sagi,1729954854571,3011034,Cladosporium herbarum Ab [Units/volume] in Serum,Measurement,MAPS_TO,kU/L by https://www.bohlab.dk/index.php/npu13075,Tomer Sagi,1727452853465,;;;;;
NPU14264,Hydrogen carbonate in Plasma capillary Blood substance concentration,171907,,millimole per litre,0.47,APPROVED,EQUAL,Tomer Sagi,1727453362762,3015235,Bicarbonate [Moles/volume] in Capillary blood,Measurement,MAPS_TO,,Tomer Sagi,1727453361053,;;;;;
NPU19923,Troponin I; cardiac muscle in Plasma mass concentration,87240,,microgram per litre,0.42,APPROVED,EQUAL,Tomer Sagi,1727455648012,3021337,Troponin I.cardiac [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,,Tomer Sagi,1727455646332,;;;;
NPU01580,Choriogonadotropin beta-chain in Plasma arbitrary substance concentration,593666,,international unit per litre,0.47,APPROVED,EQUAL,Tomer Sagi,1727455688966,3038136,Choriogonadotropin.beta subunit [Units/volume] in Serum or Plasma,Measurement,MAPS_TO,,Tomer Sagi,1727455677984,;;;;;
NPU01886,Digoxin in Plasma substance concentration,193935,,nanomole per litre,0.38,APPROVED,EQUAL,Tomer Sagi,1727455975559,3027456,Digoxin [Moles/volume] in Serum or Plasma,Measurement,MAPS_TO,,Tomer Sagi,1727455972228,;;;;;
NPU19795,Immunoglobulin A in Plasma mass concentration,3117020,,gram per litre,0.44,APPROVED,EQUAL,Tomer Sagi,1727456121400,3007164,IgA [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,,Tomer Sagi,1727456119605,;;;;;
NPU28706,Nuclear antigen antibody in Plasma arbitrary concentration,116763,,,0.39,APPROVED,EQUAL,Tomer Sagi,1727458746182,3021587,Nuclear Ab [Units/volume] in Serum,Measurement,MAPS_TO,,Tomer Sagi,1727458741297,;;;;;
NPU03562,Thrombocytes in Blood entitic volume,80548,,femtolitre,0.47,APPROVED,EQUAL,Tomer Sagi,1727458972976,3001123,Platelet mean volume [Entitic volume] in Blood,Measurement,MAPS_TO,,Tomer Sagi,1727458879688,;;;;;
NPU02722,Methadone in Urine arbitrary concentration,85814,,,0.50,APPROVED,EQUAL,Tomer Sagi,1727459524852,3040834,Methadone [Moles/volume] in Urine,Measurement,MAPS_TO,,Tomer Sagi,1727459522404,;;;;;
NPU01446,Calcium ion in Plasma substance concentration,577765,,millimole per litre,0.39,APPROVED,EQUAL,Tomer Sagi,1727460581154,3015377,Calcium [Moles/volume] in Serum or Plasma,Measurement,MAPS_TO,,Tomer Sagi,1727460579762,;;;;;
NPU01450,Cancer antigen 19-9 in Plasma arbitrary substance concentration,171168,,(procedure defined unit),0.52,APPROVED,EQUAL,Tomer Sagi,1729955052902,3022914,Cancer Ag 19-9 [Units/volume] in Serum or Plasma,Measurement,MAPS_TO,arb. U/L by https://www.gentoftehospital.dk/afdelinger-og-klinikker/klinisk-biokemisk-afdeling/metodeblade/C/Cancer-antigen%2019-9%20(Plasma).pdf,Tomer Sagi,1727460903038,;;;;;
NPU19814,Immunoglobulin G in Plasma mass concentration,2991310,,gram per litre,0.44,APPROVED,EQUAL,Tomer Sagi,1727460931411,3005719,IgG [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,,Tomer Sagi,1727460928130,;;;;;
NPU21785,T-lymphocytes in Lymphocytes Blood number fraction,80424,,,0.55,APPROVED,EQUAL,Tomer Sagi,1727968421863,1175426,CD3 cells/100 lymphocytes in Blood,Measurement,MAPS_TO,could not find a better match,Tomer Sagi,1727968414752,;;;;;
NPU10958,Horse dander antibody in Plasma arbitrary substance concentration,190139,,10Â³ international unit per litre,0.39,APPROVED,EQUAL,Tomer Sagi,1727462129399,3010726,Horse dander IgE Ab [Units/volume] in Serum,Measurement,MAPS_TO,,Tomer Sagi,1727462128252,;;;;;
NPU08960,Amphetamine+analogue in Urine arbitrary concentration,85660,,,0.37,APPROVED,EQUAL,Tomer Sagi,1727462191749,3044552,Amphetamine+Methamphetamine [Presence] in Urine,Measurement,MAPS_TO,,Tomer Sagi,1727462188042,;;;;;
NPU12584,Proliferating cell nuclear antigen antibody in Plasma arbitrary substance concentration,116088,,(procedure defined unit),0.34,APPROVED,EQUAL,Tomer Sagi,1729955282984,3003896,PCNA extractable nuclear Ab [Presence] in Serum,Measurement,MAPS_TO,converted to presence in the unit,Tomer Sagi,1727462514867,;;;;;
NPU09356,Urate in Plasma substance concentration,564219,,micromole per litre,0.44,APPROVED,EQUAL,Tomer Sagi,1727462600522,3026493,Urate [Moles/volume] in Serum or Plasma,Measurement,MAPS_TO,,Tomer Sagi,1727462598871,;;;;;
NPU08567,Glucose in Plasma substance concentration,64823,,millimole per litre,0.39,APPROVED,EQUAL,Tomer Sagi,1727463852400,3013826,Glucose [Moles/volume] in Serum or Plasma,Measurement,MAPS_TO,,<auto>,1727445444477,;;;;;
NPU04207,Glucose in Urine arbitrary concentration,2831025,,,0.37,APPROVED,EQUAL,Tomer Sagi,1727464067767,3005570,Glucose [Moles/volume] in Urine,Measurement,MAPS_TO,,Has a categorical interpretation: U-Glucose: mindre end 2,8 mmol/L 0 2,8 - 9,8 mmol/L 1 9,8 - 21,0 mmol/L 2 21,0 - 42 mmol/L 3 større end 42 mmol/L 4,,,Tomer Sagi,1727464065531,";;;;;
NPU26814,Calprotectin in Faeces mass fraction,190038,,milligram per kilogram,0.34,APPROVED,EQUAL,Tomer Sagi,1727464544323,3048689,Calprotectin [Mass/mass] in Stool,Measurement,MAPS_TO,,<auto>,1727445444887,;;;;;
NPU02616,Lupus anticoagulant in Plasma arbitrary concentration,79987,,,0.58,APPROVED,EQUAL,Tomer Sagi,1730012656271,3038697,Lupus anticoagulant neutralization platelet [Presence] in Platelet poor plasma by Coagulation assay,Measurement,MAPS_TO,,Tomer Sagi,1730012652307,;;;;;
NPU28828,Oxygen in Haemoglobin Fe; O<sub>2</sub>-binding; central venous blood saturation,115969,,,0.42,APPROVED,EQUAL,Tomer Sagi,1727949587414,1616373,Oxygen saturation in Central venous blood,Measurement,MAPS_TO,,<auto>,1727445447317,;;;
NPU19606,Immunoglobulin kappa-Chains in Plasma mass concentration,556633,,milligram per litre,0.45,APPROVED,EQUAL,Tomer Sagi,1727465916679,3019812,Kappa light chains [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,,Tomer Sagi,1727465915411,;;;;;
NPU12552,Antiglomerular basement membrane antibody in Plasma arbitrary substance concentration,85381,,(procedure defined unit),0.53,APPROVED,EQUAL,Tomer Sagi,1727465972625,3032700,Glomerular basement membrane Ab [Units/volume] in Serum,Measurement,MAPS_TO,,Tomer Sagi,1727465961747,;;;;;
NPU17147,Hydrogen ion in Plasma cord Blood; arterial Blood pH,189705,,,0.55,APPROVED,EQUAL,Tomer Sagi,1729955887852,3006598,pH of Arterial cord blood,Measurement,MAPS_TO,,Tomer Sagi,1727466006199,;;;;
NPU01393,Haemoglobin in Faeces arbitrary content,79855,,,0.31,APPROVED,EQUAL,Tomer Sagi,1729881803571,3005395,Hemoglobin F [Presence] in Stool by Apt-Downey method,Measurement,MAPS_TO,looks like presence: https://folkhalsaochsjukvard.rjl.se/api/Evolution/pdf/ec28b035-430c-4529-9fe8-dfc5fec9d4b4,Tomer Sagi,1729881788587,;;;;;
NPU02410,Hydrogen carbonate in Plasma substance concentration,2811691,,millimole per litre,0.38,APPROVED,EQUAL,Tomer Sagi,1727466213153,3016293,Bicarbonate [Moles/volume] in Serum or Plasma,Measurement,MAPS_TO,,Tomer Sagi,1727466211994,;;;;;
NPU22157,Pregnancy-associated plasma protein A in Plasma arbitrary substance concentration,168352,,(procedure defined unit),0.52,APPROVED,EQUAL,Tomer Sagi,1727466265892,3021584,Pregnancy associated plasma protein A [Units/volume] in Serum or Plasma,Measurement,MAPS_TO,Needs to be further mapped to PDU,Tomer Sagi,1727466240786,;;;;;
NPU12182,Hepatitis B virus c antibody in Plasma arbitrary concentration,64035,,,0.47,APPROVED,EQUAL,Tomer Sagi,1727466305143,3036282,Hepatitis B virus core Ab [Presence] in Serum or Plasma by Immunoassay,Measurement,MAPS_TO,unclear unit,<auto>,1727445454416,;;;;;
NPU19607,Immunoglobulin lambda-Chains in Plasma mass concentration,555330,,milligram per litre,0.46,APPROVED,EQUAL,Tomer Sagi,1727466632996,3004640,Lambda light chains [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,,Tomer Sagi,1727466630707,;;;;;
NPU54038,Hepatitis B virus s antibody in Plasma arbitrary substance concentration,115790,,international unit per litre,0.45,APPROVED,EQUAL,Tomer Sagi,1727506826241,3013731,Hepatitis B virus surface Ab [Units/volume] in Serum or Plasma by Immunoassay,Measurement,MAPS_TO,,Tomer Sagi,1727506825220,;;;;;
NPU03787,Potassium ion in Urine substance concentration,189086,,millimole per litre,0.33,APPROVED,EQUAL,Tomer Sagi,1727506891955,3016038,Potassium [Moles/volume] in Urine,Measurement,MAPS_TO,,Tomer Sagi,1727506890829,;;;;;
NPU28334,Myeloperoxidase antibody in Plasma arbitrary substance concentration,85305,,10Â³ international unit per litre,0.41,APPROVED,EQUAL,Tomer Sagi,1727506918295,3023150,Myeloperoxidase Ab [Units/volume] in Serum,Measurement,MAPS_TO,,Tomer Sagi,1727506917070,;;;;;
NPU01682,Coagulation; surface-induced in Plasma time,2715748,,second,0.37,APPROVED,EQUAL,Tomer Sagi,1729955868886,3013466,aPTT in Blood by Coagulation assay,Measurement,MAPS_TO,units match by https://loinc.org/3173-2/,Tomer Sagi,1727507360322,;;;;
NPU12481,Carbon dioxide in Plasma capillary Blood gas tension,539196,,kilopascal,0.55,APPROVED,EQUAL,Tomer Sagi,1727507375646,3023024,Carbon dioxide [Partial pressure] in Capillary blood,Measurement,MAPS_TO,,<auto>,1727445460871,;;;;;
NPU08909,Glucose in Plasma substance concentration,166998,,millimole per litre,0.39,APPROVED,EQUAL,Tomer Sagi,1727507381450,3013826,Glucose [Moles/volume] in Serum or Plasma,Measurement,MAPS_TO,,<auto>,1727445462367,;;;;;
"NPU12085,Human gammaherpesvirus 4 nuclear antibody in Plasma arbitrary concentration,79435,,,0.35,APPROVED,EQUAL,Tomer Sagi,1729597452641,1002036,Epstein Barr virus Ab panel - Serum from Donor,Measurement,MAPS_TO,""Human gammaherpesvirus 4 (also known as Epstein-Barr virus).  Arbitrary units, which are relative to a standard or control. Concentration: Antibody levels are usually reported in units such as mg/dL or IU/mL, depending on the specific assay used."",Tomer Sagi,1729597291584,";;;;;
NPU01366,Bilirubin in Plasma substance concentration,115457,,micromole per litre,0.41,APPROVED,EQUAL,Tomer Sagi,1727507423953,3006140,Bilirubin.total [Moles/volume] in Serum or Plasma,Measurement,MAPS_TO,,<auto>,1727445463701,;;;;;
NPU28943,Lactate in Plasma cord Blood; arterial Blood substance concentration,63691,,millimole per litre,0.45,APPROVED,WIDER,Tomer Sagi,1727943039246,3020410,Lactate [Moles/volume] in Arterial plasma,Measurement,MAPS_TO,not specifically venous or Plasma. ,Tomer Sagi,1727507643034,;;;;
NPU17148,Hydrogen ion in Plasma cord Blood; venous Blood pH,188478,,,0.54,APPROVED,EQUAL,Tomer Sagi,1729955950263,3022670,pH of Venous cord blood,Measurement,MAPS_TO,no specific LOINC code for arterial cord blood.,Tomer Sagi,1729955948584,;;;;
NPU12490,Hydrogen ion in Plasma capillary Blood pH,537325,,,0.59,APPROVED,EQUAL,Tomer Sagi,1729955899075,3009343,pH of Capillary blood,Measurement,MAPS_TO,,Tomer Sagi,1727939924906,;;;;;
NPU08990,Morphine+analogue in Urine arbitrary concentration,84253,,,0.31,APPROVED,EQUAL,Tomer Sagi,1729969909776,3021043,Morphine [Presence] in Urine,Measurement,MAPS_TO,presence by https://www.afdelingz.dk/analyser/u_opiater_scr_010105.pdf,Tomer Sagi,1727508237230,;;;;;
NPU10504,Acetoacetate in Urine arbitrary concentration,2707609,,,0.52,APPROVED,EQUAL,Tomer Sagi,1729580736006,3044814,Acetoacetate [Moles/volume] in Urine,Measurement,MAPS_TO,see units xlsx for conversion,Tomer Sagi,1729580718904,;;;;;
NPU17556,Chromogranin A in Plasma substance concentration,78164,,picomole per litre,0.38,APPROVED,EQUAL,Tomer Sagi,1727508314988,3006407,Chromogranin A [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,,Tomer Sagi,1727508313502,;;;;;
"NPU26690,Erythrocyte(non ABO) antibody in Plasma arbitrary concentration,166105,,,0.28,APPROVED,EQUAL,Tomer Sagi,1729691487108,3017718,Erythrocyte Ab [Units/volume] in Serum,Measurement,MAPS_TO,""The arbitrary concentration in this case means the result is based on detection methodology and the results are reported relative to a predefined threshold, often in a qualitative manner, like """"positive"""" or """"negative,""""."",<auto>,1727445470284,";;;;;
NPU17155,Oxygen in Plasma cord Blood; arterial Blood gas tension,63679,,kilopascal,0.61,APPROVED,EQUAL,Tomer Sagi,1727508498122,3021706,Oxygen [Partial pressure] in Arterial cord blood,Measurement,MAPS_TO,,Tomer Sagi,1727508461993,;;;;
NPU02187,Glucose in Blood substance concentration,534196,,millimole per litre,0.44,APPROVED,EQUAL,Tomer Sagi,1727508521683,3020491,Glucose [Moles/volume] in Blood,Measurement,MAPS_TO,,Tomer Sagi,1727508518585,;;;;;
NPU22083,Glucose in Plasma capillary Blood substance concentration,115377,,millimole per litre,0.48,APPROVED,EQUAL,Tomer Sagi,1727508535900,3040151,Glucose [Moles/volume] in Capillary blood,Measurement,MAPS_TO,,Tomer Sagi,1727508534373,;;;;;
NPU21823,T-lymphocytes in Blood number concentration,84157,,10<sup>9</sup> per litre,0.50,APPROVED,EQUAL,Tomer Sagi,1727968341009,3011412,CD3 cells [#/volume] in Blood,Measurement,MAPS_TO,no equivalent code found,Tomer Sagi,1727968335503,;;;;;
NPU22120,Glucose in Plasma capillary Blood substance concentration,185544,,millimole per litre,0.48,APPROVED,EQUAL,Tomer Sagi,1727508857592,3040151,Glucose [Moles/volume] in Capillary blood,Measurement,MAPS_TO,,Tomer Sagi,1727508856086,;;;;;
NPU19825,Immunoglobulin M in Plasma mass concentration,2700233,,gram per litre,0.43,APPROVED,EQUAL,Tomer Sagi,1727508873551,3028026,IgM [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,,Tomer Sagi,1727508871870,;;;;;
NPU12526,Carbon dioxide in Plasma arterial Blood gas tension,165338,,kilopascal,0.58,APPROVED,EQUAL,Tomer Sagi,1727508918459,3027946,Carbon dioxide [Partial pressure] in Arterial blood,Measurement,MAPS_TO,,Tomer Sagi,1727508916921,;;;;;
NPU08564,Glucose in Plasma substance concentration,77596,,millimole per litre,0.39,APPROVED,EQUAL,Tomer Sagi,1727508951867,3013826,Glucose [Moles/volume] in Serum or Plasma,Measurement,MAPS_TO,,<auto>,1727445476583,;;;;;
NPU18600,Thyroglobulin antibody in Plasma arbitrary substance concentration,63240,,10Â³ international unit per litre,0.41,APPROVED,EQUAL,Tomer Sagi,1727509417297,3007446,Thyroglobulin [Moles/volume] in Serum or Plasma,Measurement,MAPS_TO,possible unit mismatch,Tomer Sagi,1727509416303,;;;;;
NPU16789,Paracetamol in Plasma substance concentration,115248,,millimole per litre,0.40,APPROVED,EQUAL,Tomer Sagi,1727509524994,3020485,Acetaminophen [Moles/volume] in Serum or Plasma,Measurement,MAPS_TO,,Tomer Sagi,1727509456119,;;;;;
NPU02412,Hydrogen ion in Plasma arterial Blood pH,164809,,,0.56,APPROVED,EQUAL,Tomer Sagi,1729955971516,3019977,pH of Arterial blood,Measurement,MAPS_TO,,Tomer Sagi,1727509563374,;;;;;
NPU04613,Haemoglobin F in Haemoglobin Fe; Blood substance fraction,83988,,,0.43,APPROVED,EQUAL,Tomer Sagi,1727509728012,3018738,Hemoglobin F/Hemoglobin.total in Blood,Measurement,MAPS_TO,,Tomer Sagi,1727509726043,;;;;
NPU01473,Carbon monoxide haemoglobin in Haemoglobin Fe; Blood substance fraction,2670349,,,0.43,APPROVED,EQUAL,Tomer Sagi,1727509842672,42869645,Carboxyhemoglobin/Hemoglobin.total [Pure mass fraction] in Blood,Measurement,MAPS_TO,,Tomer Sagi,1727509841863,;;;;
NPU17181,Brain natriuretic peptide in Plasma substance concentration,180796,,picomole per litre,0.48,APPROVED,EQUAL,Tomer Sagi,1727509933708,3052295,Natriuretic peptide B [Moles/volume] in Serum or Plasma,Measurement,MAPS_TO,,Tomer Sagi,1727509932092,;;;;;
NPU02195,Glucose in Plasma venous Blood; fasting Patient substance concentration,523232,,millimole per litre,0.37,APPROVED,EQUAL,Tomer Sagi,1727509960349,46235168,Fasting glucose [Moles/volume] in Blood,Measurement,MAPS_TO,,<auto>,1727445483454,;;;;
NPU14568,Dehydroepiandrosterone sulfate in Plasma substance concentration,76967,,nanomole per litre,0.49,APPROVED,EQUAL,Tomer Sagi,1727509991259,3016616,Dehydroepiandrosterone sulfate (DHEA-S) [Moles/volume] in Serum or Plasma,Measurement,MAPS_TO,,Tomer Sagi,1727509989438,;;;;;
NPU19725,Ciclosporin in Blood mass concentration,164127,,microgram per litre,0.36,APPROVED,EQUAL,Tomer Sagi,1727510028016,3010375,cycloSPORINE [Mass/volume] in Blood,Measurement,MAPS_TO,,Tomer Sagi,1727510025569,;;;;;
NPU22115,Glucose in Plasma capillary Blood substance concentration,62936,,millimole per litre,0.48,APPROVED,EQUAL,Tomer Sagi,1727510063117,3040151,Glucose [Moles/volume] in Capillary blood,Measurement,MAPS_TO,,Tomer Sagi,1727510060021,;;;;;
NPU03412,Semen in Patient volume,76657,,millilitre,0.54,APPROVED,EQUAL,Tomer Sagi,1727510131922,3001894,Volume of Semen,Measurement,MAPS_TO,,Tomer Sagi,1727510077188,;;;;;
NPU18189,Transglutaminase antibody in Plasma arbitrary substance concentration,114971,,(procedure defined unit),0.41,APPROVED,EQUAL,Tomer Sagi,1727977432916,3046870,Tissue transglutaminase IgG Ab [Units/volume] in Serum,Measurement,MAPS_TO,By https://labportal.rh.dk/Labkaoversigt.asp?Id=6833,Tomer Sagi,1727977415347,;;;;;
NPU02725,Methaemoglobin in Haemoglobin Fe; Blood substance fraction,2641875,,,0.46,APPROVED,EQUAL,Tomer Sagi,1727510478313,42869638,Methemoglobin/Hemoglobin.total [Pure mass fraction] in Blood,Measurement,MAPS_TO,,Tomer Sagi,1727510475942,;;;;
NPU28540,Nuclear antigen antibody in Plasma arbitrary concentration,82663,,,0.39,APPROVED,EQUAL,Tomer Sagi,1729681257412,37171921,Nuclear IgG antibody arbitrary concentration in serum,Measurement,MAPS_TO,checked: https://ciselniky.dasta.mzcr.cz/CD_DS4/hypertext/_KOMP_202410051824ANFGX.htm,Tomer Sagi,1729681248763,;;;;;
NPU01458,Carbamide in Patient Urine substance rate,179520,,millimole per day,0.47,APPROVED,EQUAL,Tomer Sagi,1727510693943,3011408,Urea nitrogen [Moles/time] in 24 hour Urine,Measurement,MAPS_TO,,Tomer Sagi,1727510688561,;;;;;
NPU14104,Oxygen in Plasma arterial Blood gas tension,164006,,kilopascal,0.62,APPROVED,EQUAL,Tomer Sagi,1727510808479,3027801,Oxygen [Partial pressure] in Arterial blood,Measurement,MAPS_TO,,Tomer Sagi,1727510803928,;;;;;
NPU01423,C-reactive protein in Plasma substance concentration,522907,,nanomole per litre,0.36,APPROVED,EQUAL,Tomer Sagi,1727510920775,46234770,C reactive protein [Moles/volume] in Serum or Plasma,Measurement,MAPS_TO,,Tomer Sagi,1727510919838,;;;;;
NPU02415,Hydrogen ion in Urine pH,2602221,,,0.45,APPROVED,EQUAL,Tomer Sagi,1727510999392,3015736,pH of Urine,Measurement,MAPS_TO,,Tomer Sagi,1727510942268,;;;;;
NPU58634,Liver fibrosis in Patient kind-of-property,62812,,,0.32,APPROVED,EQUAL,Tomer Sagi,1729666104826,36304928,Liver fibrosis interpretation in Serum Qualitative,Measurement,MAPS_TO,Checked in procedure manual,Tomer Sagi,1729665996743,;;;;;
NPU22124,Glucose in Plasma capillary Blood substance concentration,75926,,millimole per litre,0.48,APPROVED,EQUAL,Tomer Sagi,1727550774400,3040151,Glucose [Moles/volume] in Capillary blood,Measurement,MAPS_TO,,Tomer Sagi,1727550772024,;;;;;
