source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
Drug 491787,0,VNR,"KININ ""DAK"" (100 MG )",19107949,RxNorm,2024-05-13,,
Drug 429555,0,VNR,ELTROXIN (50 MIKROGRAM ),40175210,RxNorm,2024-05-13,,
Drug 24231,0,VNR,"METOPROLOLSUCCINAT ""HEXAL"" (100 MG )",40167200,RxNorm,2024-05-13,,
Drug 448413,0,VNR,"AMLODIPIN ""SANDOZ"" (5 MG )",1332419,RxNorm,2024-05-13,,
Drug 65052,0,VNR,HJERTEMAGNYL (75 MG ),19004043,RxNorm,2024-05-13,,
Drug 19019,0,VNR,HJERDYL (75 MG ),19004043,RxNorm,2024-05-13,,
Drug 588905,0,VNR,CORODIL (10 MG ),40165762,RxNorm,2024-05-13,,
Drug 87312,0,VNR,IMOVANE (75 MG ),19044885,RxNorm,2024-05-13,,
Drug 83865,0,VNR,PANODIL (500 MG ),19020053,RxNorm,2024-05-13,,
Drug 547764,0,VNR,"PANTOPRAZOL ""SANDOZ"" (40 MG )",19080217,RxNorm,2024-05-13,,
Drug 11244,0,VNR,VEPICOMBIN NOVUM (1 MILL. IE ),40067083,RxNorm,2024-05-13,,
Drug 594610,0,VNR,"AMLODIPIN ""SANDOZ"" (5 MG )",1332419,RxNorm,2024-05-13,,
Drug 131938,0,VNR,BRENTACORT (20+10 MG/G ),40046783,RxNorm,2024-05-13,,
Drug 170773,0,VNR,PINEMOL (500 MG ),19020053,RxNorm,2024-05-13,,
Drug 135533,0,VNR,SEREVENT (50 MIKROG. I DISKOS ),36404388,RxNorm Extension,2024-05-13,,
Drug 388363,0,VNR,IBUMETIN (600 MG ),19019073,RxNorm,2024-05-13,,
Drug 445899,0,VNR,HJERDYL (75 MG ),19004043,RxNorm,2024-05-13,,
Drug 455742,0,VNR,"ATORVASTATIN ""TEVA"" (80 MG )",1545959,RxNorm,2024-05-13,,
Drug 88261,0,VNR,AVAMYS (275 MIKROGRAM ),43161314,RxNorm Extension,2024-05-13,,
Drug 93278,0,VNR,NIZORAL (2 % ),40048392,RxNorm,2024-05-13,,
Drug 5588,0,VNR,SPIRIVA (18 MIKROGRAM ),19112761,RxNorm,2024-05-13,,
Drug 131979,0,VNR,BRENTACORT (20+10 MG/G ),40046783,RxNorm,2024-05-13,,
Drug 169904,0,VNR,"GESTODEN/ETHINYLESTRADIOL 75/30 ""BERLIPHARM"" (75 + 30 MIKROGRAM )",40039760,RxNorm,2024-05-13,,
Drug 2391,0,VNR,YASMIN (3 MG+30 MIKROGRAM ),19071361,RxNorm,2024-05-13,,
Drug 487934,0,VNR,BERODUAL (100 + 40 MIKROG/KAPS ),43211266,RxNorm Extension,2024-05-13,,
Drug 17248,0,VNR,"AMLODIPIN ""ACTAVIS"" (5 MG )",1332419,RxNorm,2024-05-13,,
Drug 436410,0,VNR,FUCIDIN (2 % ),40131827,RxNorm,2024-05-13,,
Drug 472229,0,VNR,"DIGOXIN ""DAK"" (625 MIKROGRAM )",1326349,RxNorm,2024-05-13,,
Drug 515650,0,VNR,MG,938205,RxNorm,2024-05-13,,
Drug 515650,0,VNR,MG,43013634,RxNorm,2024-05-13,,
Drug 515650,0,VNR,MG,923829,RxNorm,2024-05-13,,
Drug 172973,0,VNR,LUCOSIL (500 MG ),19019820,RxNorm,2024-05-13,,
Drug 388371,0,VNR,IBUMETIN (600 MG ),19019073,RxNorm,2024-05-13,,
Drug 7535,0,VNR,MANDOLGIN (50 MG ),1103398,RxNorm,2024-05-13,,
Drug 530586,0,VNR,BENDROZA (25+573 MG ),19063004,RxNorm,2024-05-13,,
Drug 180729,0,VNR,HYDROCORTISON M.TERRAMYCIN+POLYMYXIN-B (15 + 5 + 1 MG/ML ),975125,RxNorm,2024-05-13,,
Drug 180729,0,VNR,HYDROCORTISON M.TERRAMYCIN+POLYMYXIN-B (15 + 5 + 1 MG/ML ),925952,RxNorm,2024-05-13,,
Drug 180729,0,VNR,HYDROCORTISON M.TERRAMYCIN+POLYMYXIN-B (15 + 5 + 1 MG/ML ),948582,RxNorm,2024-05-13,,
Drug 199371,0,VNR,"ACETYLSALICYLSYRE ""TEVA"" (75 MG )",19004043,RxNorm,2024-05-13,,
Drug 373365,0,VNR,SERETIDE (50+500 MIKROG./DOSIS ),36882733,RxNorm Extension,2024-05-13,,
Drug 29066,0,VNR,OTRASON (50 MIKROGRAM/DOSIS ),21070053,RxNorm Extension,2024-05-13,,
Drug 509737,0,VNR,"KLORAMFENIKOL ""DAK"" (1 % )",40023482,RxNorm,2024-05-13,,
Drug 512855,0,VNR,"VEPICOMBIN ""DAK"" (1 MILL. IE )",1729720,RxNorm,2024-05-13,,
Drug 512855,0,VNR,"VEPICOMBIN ""DAK"" (1 MILL. IE )",1729720,RxNorm,2024-05-13,,
Drug 13944,0,VNR,LINDYNETTE (75 + 30 MIKROGRAM ),19060529,RxNorm,2024-05-13,,
Drug 66278,0,VNR,SPIRIVA RESPIMAT (25 MIKROGRAM ),43169383,RxNorm Extension,2024-05-13,,
Drug 588871,0,VNR,CORODIL (5 MG ),40165789,RxNorm,2024-05-13,,
Drug 22293,0,VNR,NORVASC (5 MG ),1332419,RxNorm,2024-05-13,,
Drug 52929,0,VNR,"LOSARTANKALIUM ""TEVA"" (50 MG )",40185304,RxNorm,2024-05-13,,
Drug 510553,0,VNR,FURIX (40 MG ),957136,RxNorm,2024-05-13,,
Drug 182416,0,VNR,"METOPROLOLSUCCINAT ""HEXAL"" (50 MG )",40167216,RxNorm,2024-05-13,,
Drug 13956,0,VNR,GESTONETTE (75 + 20 MIKROGRAM ),19063926,RxNorm,2024-05-13,,
Drug 588939,0,VNR,CORODIL (20 MG ),40165773,RxNorm,2024-05-13,,
Drug 102741,0,VNR,"SIMVASTATIN ""SANDOZ"" (40 MG )",1539407,RxNorm,2024-05-13,,
Drug 110395,0,VNR,MERCILON (150 + 20 MIKROGRAM ),1549852,RxNorm,2024-05-13,,
Drug 151007,0,VNR,"AMLODIPIN ""TEVA"" (5 MG )",1332419,RxNorm,2024-05-13,,
Drug 510214,0,VNR,MG,1134439,RxNorm,2024-05-13,,
Drug 510214,0,VNR,MG,1201620,RxNorm,2024-05-13,,
Drug 510214,0,VNR,MG,992956,RxNorm,2024-05-13,,
Drug 510214,0,VNR,MG,19029322,RxNorm,2024-05-13,,
Drug 510214,0,VNR,MG,1164108,RxNorm,2024-05-13,,
Drug 496950,0,VNR,KETOGAN (5 + 25 MG ),36855533,RxNorm Extension,2024-05-13,,
Drug 496950,0,VNR,KETOGAN (5 + 25 MG ),40798904,RxNorm Extension,2024-05-13,,
Drug 45387,0,VNR,ANCOZAN (100 MG ),40185276,RxNorm,2024-05-13,,
Drug 102474,0,VNR,"PARACETAMOL ""SANDOZ"" (500 MG )",19020053,RxNorm,2024-05-13,,
Drug 599522,0,VNR,ANCOZAN (50 MG ),40185304,RxNorm,2024-05-13,,
Drug 490466,0,VNR,TERBASMIN TURBUHALER (05 MG/DOSIS ),43290291,RxNorm Extension,2024-05-13,,
Drug 6102,0,VNR,NOVORAPID FLEXPEN (100 E/ML ),35159339,RxNorm Extension,2024-05-13,,
Drug 56232,0,VNR,PINEX (500 MG ),19020053,RxNorm,2024-05-13,,
Drug 79061,0,VNR,COZAAR (50 MG ),40185304,RxNorm,2024-05-13,,
Drug 485946,0,VNR,CORODIL COMP (20+125 MG ),40165771,RxNorm,2024-05-13,,
Drug 155424,0,VNR,LETIGEN (NA ),41298677,RxNorm Extension,2024-05-13,,
Drug 404723,0,VNR,MINULET (75+30 MIKROGRAM ),40039760,RxNorm,2024-05-13,,
Drug 13957,0,VNR,IUM,40052393,RxNorm,2024-05-13,,
Drug 379649,0,VNR,"SIMVASTATIN ""SANDOZ"" (40 MG )",1539407,RxNorm,2024-05-13,,
Drug 598708,0,VNR,PAMOL (500 MG ),19020053,RxNorm,2024-05-13,,
Drug 20444,0,VNR,LOCOID (01% ),40049748,RxNorm,2024-05-13,,
Drug 156661,0,VNR,VERMOX (100 MG ),1794307,RxNorm,2024-05-13,,
Drug 579128,0,VNR,SELO-ZOK (100 MG ),40167200,RxNorm,2024-05-13,,
Drug 577068,0,VNR,"ATORVASTATIN ""TEVA"" (20 MG )",19123592,RxNorm,2024-05-13,,
Drug 24503,0,VNR,HJERTEMAGNYL (150 MG ),19059059,RxNorm,2024-05-13,,
Drug 497099,0,VNR,KETOGAN (5 + 25 MG ),36855533,RxNorm Extension,2024-05-13,,
Drug 497099,0,VNR,KETOGAN (5 + 25 MG ),40798904,RxNorm Extension,2024-05-13,,
Drug 79442,0,VNR,IMACILLIN (50 MG/ML ),19080894,RxNorm,2024-05-13,,
Drug 415141,0,VNR,PAMOL (500 MG ),19020053,RxNorm,2024-05-13,,
Drug 95893,0,VNR,"KLORAMFENIKOL ""DAK"" (05 % )",40023487,RxNorm,2024-05-13,,
Drug 142903,0,VNR,MALONETTA (150+30 MIKROGRAM ),35766593,RxNorm Extension,2024-05-13,,
Drug 458356,0,VNR,SELEXID (200 MG ),19088224,RxNorm,2024-05-13,,
Drug 129685,0,VNR,"SIMVASTATIN ""TEVA"" (40 MG )",1539407,RxNorm,2024-05-13,,
Drug 111454,0,VNR,"AMLODIPIN ""SANDOZ"" (10 MG )",19073093,RxNorm,2024-05-13,,
Drug 38252,0,VNR,PANODIL ZAPP (500 MG ),19020053,RxNorm,2024-05-13,,
Drug 54321,0,VNR,SELEXID (400 MG ),36892666,RxNorm Extension,2024-05-13,,
Drug 452209,0,VNR,"PANTOPRAZOLE ""TEVA"" (40 MG )",19080217,RxNorm,2024-05-13,,
Drug 450734,0,VNR,STILNOCT (10 MG ),40163492,RxNorm,2024-05-13,,
Drug 54332,0,VNR,SELEXID (400 MG ),36892666,RxNorm Extension,2024-05-13,,
Drug 91544,0,VNR,GABARATIO (300 MG ),19077548,RxNorm,2024-05-13,,
Drug 466094,0,VNR,CONTALGIN (10 MG ),40169893,RxNorm,2024-05-13,,
Drug 149625,0,VNR,"METFORMIN ""HEXAL"" (500 MG )",40164929,RxNorm,2024-05-13,,
Drug 14290,0,VNR,BENALIV (05 MG/ML ),907556,RxNorm,2024-05-13,,
Drug 183418,0,VNR,"DIGOXIN ""DAK"" (625 MIKROGRAM )",1326349,RxNorm,2024-05-13,,
Drug 58140,0,VNR,"ALENDRONAT ""SANDOZ"" (70 MG )",40173612,RxNorm,2024-05-13,,
Drug 107839,0,VNR,IMOZOP (75 MG ),19044885,RxNorm,2024-05-13,,
Drug 90084,0,VNR,SPARKAL (50 + 5 MG ),36884800,RxNorm Extension,2024-05-13,,
Drug 176974,0,VNR,CALCICHEW-D3 (500 MG+5 MIKROGRAM ),19018544,RxNorm,2024-05-13,,
Drug 176974,0,VNR,CALCICHEW-D3 (500 MG+5 MIKROGRAM ),19035704,RxNorm,2024-05-13,,
Drug 176974,0,VNR,CALCICHEW-D3 (500 MG+5 MIKROGRAM ),19095164,RxNorm,2024-05-13,,
Drug 176974,0,VNR,CALCICHEW-D3 (500 MG+5 MIKROGRAM ),19095164,RxNorm,2024-05-13,,
Drug 95828,0,VNR,"MAGNYL SVAGE ""DAK"" (150 MG )",19059059,RxNorm,2024-05-13,,
Drug 59014,0,VNR,DOLOL (50 MG ),1103398,RxNorm,2024-05-13,,
Drug 52953,0,VNR,"LOSARTANKALIUM ""TEVA"" (100 MG )",40185276,RxNorm,2024-05-13,,
Drug 11018,0,VNR,VEPICOMBIN NOVUM (1 MILL. IE ),40067083,RxNorm,2024-05-13,,
Drug 23703,0,VNR,"SIMVASTATIN ""KRKA"" (40 MG )",1539407,RxNorm,2024-05-13,,
Drug 486860,0,VNR,MAXIDEX (1 MG/ML ),19076141,RxNorm,2024-05-13,,
Drug 139162,0,VNR,DIURAL (40 MG ),957136,RxNorm,2024-05-13,,
Drug 447490,0,VNR,DIURAL (40 MG ),957136,RxNorm,2024-05-13,,
Drug 152197,0,VNR,"METOPROLOLSUCCINAT ""HEXAL"" (25 MG )",40167211,RxNorm,2024-05-13,,
Drug 174813,0,VNR,LYSANTIN (50 MG ),40223008,RxNorm,2024-05-13,,
Drug 70233,0,VNR,"SIMVASTATIN ""ACTAVIS"" (40 MG )",1539407,RxNorm,2024-05-13,,
Drug 376434,0,VNR,AIROMIR (01 MG/DOSIS ),2070096,RxNorm Extension,2024-05-13,,
Drug 143800,0,VNR,LITAREX (6 MMOL LI+ ),40058988,RxNorm,2024-05-13,,
Drug 145250,0,VNR,"VISKØSE ØJENDRÅBER ""OPHTHA"" (35 MG/ML )",792648,RxNorm,2024-05-13,,
Drug 388322,0,VNR,IBUMETIN (400 MG ),19019072,RxNorm,2024-05-13,,
Drug 559062,0,VNR,NOBLIGAN (50 MG ),1103398,RxNorm,2024-05-13,,
Drug 472756,0,VNR,"PARACETAMOL ""SANDOZ"" (500 MG )",19020053,RxNorm,2024-05-13,,
Drug 388314,0,VNR,IBUMETIN (400 MG ),19019072,RxNorm,2024-05-13,,
Drug 130823,0,VNR,OXAPAX (15 MG ),19019484,RxNorm,2024-05-13,,
Drug 440936,0,VNR,"KALIUMKLORID ""ORIFARM"" (750 MG )",44058287,RxNorm Extension,2024-05-13,,
Drug 60097,0,VNR,CLORIOCARD (75 MG ),19075601,RxNorm,2024-05-13,,
Drug 71666,0,VNR,HJERDYL (75 MG ),19004043,RxNorm,2024-05-13,,
Drug 525220,0,VNR,"KLORAMFENIKOL VISKØSE ""DAK"" (05% )",40023487,RxNorm,2024-05-13,,
Drug 525958,0,VNR,"KALIUMKLORID ""ORIFARM"" (750 MG )",44058287,RxNorm Extension,2024-05-13,,
Drug 197400,0,VNR,ANTISTINA-PRIVIN (025 MG/ML + 5 MG/ML ),40014382,RxNorm,2024-05-13,,
Drug 45365,0,VNR,ANCOZAN (50 MG ),40185304,RxNorm,2024-05-13,,
Drug 145466,0,VNR,MG,40056523,RxNorm,2024-05-13,,
Drug 38208,0,VNR,"NITRAZEPAM ""DAK"" (5 MG )",19020025,RxNorm,2024-05-13,,
Drug 143891,0,VNR,ZITROMAX (500 MG ),1734134,RxNorm,2024-05-13,,
Drug 51761,0,VNR,BRICANYL TURBUHALER (05 MG/DOSIS ),43290291,RxNorm Extension,2024-05-13,,
Drug 93427,0,VNR,ROCILIN (1 MILL. IE ),40067083,RxNorm,2024-05-13,,
Drug 66411,0,VNR,DURAPHAT (5 MG/G ),40081744,RxNorm,2024-05-13,,
Drug 416784,0,VNR,PRIMCILLIN (50 MG/ML ),19133858,RxNorm,2024-05-13,,
Drug 96415,0,VNR,"SIMVASTATIN ""SANDOZ"" (40 MG )",1539407,RxNorm,2024-05-13,,
Drug 515608,0,VNR,FUCITHALMIC (1 % ),40755236,RxNorm Extension,2024-05-13,,
Drug 559828,0,VNR,IBUMETIN (400 MG ),19019072,RxNorm,2024-05-13,,
Drug 161596,0,VNR,FLIXOTIDE (250 MIKROGRAM/DOSIS ),36886791,RxNorm Extension,2024-05-13,,
Drug 131342,0,VNR,OXAPAX (15 MG ),19019484,RxNorm,2024-05-13,,
Drug 474551,0,VNR,NASONEX (50 MIKROGRAM/DOSIS ),42480110,RxNorm Extension,2024-05-13,,
Drug 6872,0,VNR,NIMADORM (10 MG ),40163492,RxNorm,2024-05-13,,
Drug 17218,0,VNR,"AMLODIPIN ""ACTAVIS"" (10 MG )",19073093,RxNorm,2024-05-13,,
Drug 7095,0,VNR,"KODEIN ""DAK"" (25 MG )",40223099,RxNorm,2024-05-13,,
Drug 518720,0,VNR,"ØSTRADIOL ""DLF"" (2 MG )",1548199,RxNorm,2024-05-13,,
Drug 23993,0,VNR,"LANSOPRAZOL ""KRKA"" (30 MG )",929889,RxNorm,2024-05-13,,
Drug 155432,0,VNR,TRUXAL (15 MG ),19000959,RxNorm,2024-05-13,,
Drug 165019,0,VNR,PROCTOSEDYL (NA ),42903834,RxNorm,2024-05-13,,
Drug 165019,0,VNR,PROCTOSEDYL (NA ),923840,RxNorm,2024-05-13,,
Drug 165019,0,VNR,PROCTOSEDYL (NA ),19056694,RxNorm,2024-05-13,,
Drug 165019,0,VNR,PROCTOSEDYL (NA ),975125,RxNorm,2024-05-13,,
Drug 431023,0,VNR,FUCIDIN (2 % ),40131831,RxNorm,2024-05-13,,
Drug 474783,0,VNR,BIOCLAVID (500 MG + 125 MG ),40105046,RxNorm,2024-05-13,,
Drug 494792,0,VNR,FURIX (40 MG ),957136,RxNorm,2024-05-13,,
Drug 382730,0,VNR,"MOMETASONE ""SANDOZ"" (50 MIKROGRAM/DOSIS )",42480110,RxNorm Extension,2024-05-13,,
Drug 6024,0,VNR,NOVOMIX 30 FLEXPEN (100 E/ML ),2919826,RxNorm Extension,2024-05-13,,
Drug 20343,0,VNR,"SIMVASTATIN ""ACTAVIS"" (40 MG )",1539407,RxNorm,2024-05-13,,
Drug 156034,0,VNR,KODIPAR (306 + 500 MG ),40221938,RxNorm,2024-05-13,,
Drug 124000,0,VNR,"LOSARTAN ""MEDICAL VALLEY"" (100 MG )",40185276,RxNorm,2024-05-13,,
Drug 28068,0,VNR,OXABENZ (15 MG ),19019484,RxNorm,2024-05-13,,
Drug 50963,0,VNR,BRENTAN (20 MG/G ),40063802,RxNorm,2024-05-13,,
Drug 382507,0,VNR,DOLOL (50 MG ),1103398,RxNorm,2024-05-13,,
Drug 4045,0,VNR,"IBUPROFEN ""ACTAVIS"" (600 MG )",19019073,RxNorm,2024-05-13,,
Drug 458349,0,VNR,SELEXID (200 MG ),19088224,RxNorm,2024-05-13,,
Drug 468374,0,VNR,BRICANYL TURBUHALER (05 MG/DOSIS ),43290291,RxNorm Extension,2024-05-13,,
Drug 496423,0,VNR,"LANSOPRAZOL ""TEVA"" (30 MG )",929889,RxNorm,2024-05-13,,
Drug 151532,0,VNR,FURIX (20 MG ),19077546,RxNorm,2024-05-13,,
Drug 398747,0,VNR,"PREDNISOLON ""DAK"" (5 MG )",1550560,RxNorm,2024-05-13,,
Drug 149815,0,VNR,TRUXAL (25 MG ),19095006,RxNorm,2024-05-13,,
Drug 8457,0,VNR,MALONETTA (015 + 003 MG ),19057161,RxNorm,2024-05-13,,
Drug 479713,0,VNR,ANASTRELLA (150+30 MIKROGRAM ),35766593,RxNorm Extension,2024-05-13,,
Drug 10077,0,VNR,SYMBICORT TURBUHALER (45+160 MIKROG/DOSIS ),35133500,RxNorm Extension,2024-05-13,,
Drug 427765,0,VNR,LAXOBERAL (75 MG/ML ),19025117,RxNorm,2024-05-13,,
Drug 389364,0,VNR,"KLORAMFENIKOL ""DAK"" (1 % )",40023482,RxNorm,2024-05-13,,
Drug 545814,0,VNR,CISORDINOL (2 MG ),19010913,RxNorm,2024-05-13,,
Drug 135384,0,VNR,FLIXOTIDE (500 MIKROGRAM/DOSIS ),36886790,RxNorm Extension,2024-05-13,,
Drug 40833,0,VNR,ORABET (500 MG ),40164929,RxNorm,2024-05-13,,
Drug 51699,0,VNR,GREPID (75 MG ),19075601,RxNorm,2024-05-13,,
Drug 195511,0,VNR,ALOPAM (15 MG ),19019484,RxNorm,2024-05-13,,
Drug 559134,0,VNR,"METFORMIN ""MEDICAL VALLEY"" (500 MG )",40164929,RxNorm,2024-05-13,,
Drug 81996,0,VNR,LANTUS SOLOSTAR (100 E/ML ),701385,RxNorm,2024-05-13,,
Drug 565921,0,VNR,"METOPROLOLSUCCINAT ""HEXAL"" (100 MG )",40167200,RxNorm,2024-05-13,,
Drug 107813,0,VNR,IMOZOP (75 MG ),19044885,RxNorm,2024-05-13,,
Drug 492285,0,VNR,"PARACETAMOL ""ORIFARM"" (500 MG )",19020053,RxNorm,2024-05-13,,
Drug 108233,0,VNR,"GESTODEN/ETHINYLESTRADIOL 75/20 ""SCHERING"" (75 + 20 MIKROGRAM )",40039760,RxNorm,2024-05-13,,
Drug 94332,0,VNR,"TRAMADOL ""ACTAVIS"" (50 MG )",1103398,RxNorm,2024-05-13,,
Drug 431098,0,VNR,SURLID (150 MG ),19063875,RxNorm,2024-05-13,,
Drug 141119,0,VNR,AKARIN (20 MG ),19023636,RxNorm,2024-05-13,,
Drug 13701,0,VNR,"SIMVASTATIN ""HEXAL"" (40 MG )",1539407,RxNorm,2024-05-13,,
Drug 498485,0,VNR,VAGIFEM (25 MIKROGRAM ),783424,RxNorm Extension,2024-05-13,,
Drug 593392,0,VNR,RIVOTRIL (05 MG ),798875,RxNorm,2024-05-13,,
Drug 184382,0,VNR,"PREDNISOLON ""DAK"" (25 MG )",1550572,RxNorm,2024-05-13,,
Drug 65706,0,VNR,XALATAN (50 MIKROGRAM/ML ),19080125,RxNorm,2024-05-13,,
Drug 580100,0,VNR,TRIMOPAN (100 MG ),1705676,RxNorm,2024-05-13,,
Drug 166395,0,VNR,"SIMVASTATIN ""SANDOZ"" (20 MG )",1539411,RxNorm,2024-05-13,,
Drug 523570,0,VNR,"IBUPROFEN ""TEVA"" (400 MG )",19019072,RxNorm,2024-05-13,,
Drug 510222,0,VNR,MG,1134439,RxNorm,2024-05-13,,
Drug 510222,0,VNR,MG,1201620,RxNorm,2024-05-13,,
Drug 510222,0,VNR,MG,992956,RxNorm,2024-05-13,,
Drug 510222,0,VNR,MG,19029322,RxNorm,2024-05-13,,
Drug 510222,0,VNR,MG,1164108,RxNorm,2024-05-13,,
Drug 17210,0,VNR,SPIRIX (25 MG ),19079658,RxNorm,2024-05-13,,
Drug 80980,0,VNR,METOMYLAN (50 MG ),40167216,RxNorm,2024-05-13,,
Drug 511303,0,VNR,TRISEKVENS (NA ),21099777,RxNorm Extension,2024-05-13,,
Drug 488619,0,VNR,LOSEC (20 MG ),19102189,RxNorm,2024-05-13,,
Drug 42952,0,VNR,TODOLAC (300 MG ),1195536,RxNorm,2024-05-13,,
Drug 107052,0,VNR,IMACILLIN (50 MG/ML ),19080894,RxNorm,2024-05-13,,
Drug 195894,0,VNR,FURIX (40 MG ),957136,RxNorm,2024-05-13,,
Drug 462285,0,VNR,"LOSARTAN ""MEDICAL VALLEY"" (50 MG )",40185304,RxNorm,2024-05-13,,
Drug 534141,0,VNR,"OMEPRAZOL ""SANDOZ"" (20 MG )",19019418,RxNorm,2024-05-13,,
Drug 416636,0,VNR,PRIMCILLIN (400 MG ),19106634,RxNorm,2024-05-13,,
Drug 15301,0,VNR,"GLUCOSAMIN ""PHARMA NORD"" (400 MG )",36259665,RxNorm Extension,2024-05-13,,
Drug 198303,0,VNR,"METFORMIN ""SANDOZ"" (500 MG )",40164929,RxNorm,2024-05-13,,
Drug 409748,0,VNR,IMDUR (30 MG ),19134643,RxNorm,2024-05-13,,
