sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:full_add_eng,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
J07BK0132174062747,Varicella Varizovac,254,,solution for injection; susp. in syringe,0.30,APPROVED,WIDER,Tomer Sagi,1731935398792,46275138,varicella-zoster virus vaccine live (Oka-Merck) strain Injection,Drug,MAPS_TO,No brand information for this brand in OMOP,Tomer Sagi,1731935390582,
J07CA0232117338532,Di-Te-Ki-Pol DiTeKiPol Booster,89,,,0.20,APPROVED,EQUAL,Tomer Sagi,1731332240058,43275889,"0.5 ML acellular pertussis vaccine, inactivated 0.01 MG/ML / Bordetella pertussis 0.008 MG/ML / diphtheria toxoid vaccine, inactivated 2 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML Injection [Boostrix]",Drug,MAPS_TO,Branded,Tomer Sagi,1731332238228,
J07BJ010,Rubella,14382,,solution for injection; susp. in syringe,0.47,APPROVED,EQUAL,Tomer Sagi,1731935586732,43765442,Rubella virus Injectable Solution,Drug,MAPS_TO,no brand information,Tomer Sagi,1731935585191,
J07AL0232114342310,Pneumococcal vaccination conjugate (PVC) Prevenar 13,1419221,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731493869626,36266993,Pneumococcal Purified Capsular Polysaccharides Injectable Suspension [Prevenar 13],Drug,MAPS_TO,,Tomer Sagi,1731493868220,
J07BD010,Measles monovalent,571,,solution for injection; susp. in syringe,0.23,APPROVED,EQUAL,Tomer Sagi,1731318208947,35762018,Measles Vaccine Injection,Drug,MAPS_TO,,Tomer Sagi,1731318207317,
J07BC32117338522,Hepatitis A Vaqta,5,,1 * 1 ml. Adults from 16 years of age injection; susp. in syringe,0.81,APPROVED,EQUAL,Tomer Sagi,1731332658908,43269670,1 ML Hepatitis A Virus 50 UNT/ML Injection [VAQTA Adult],Drug,MAPS_TO,Branded,Tomer Sagi,1731332654063,
J07BC01191311,Hepatitis B Engerix-B 20 mikrogram/1 ml,46,,solution for injection; susp. in syringe,0.39,APPROVED,EQUAL,Tomer Sagi,1731332846089,41407429,0.5 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injectable Solution [Engerix B],Drug,MAPS_TO,Branded,Tomer Sagi,1731332785105,
J07BK010,Varicella,1875,,solution for injection; susp. in syringe,0.35,APPROVED,EQUAL,Tomer Sagi,1731333012655,43768846,varicella-zoster immune globulin Oral Solution [Varitect],Drug,MAPS_TO,Branded,<auto>,1730992740007,
J07AL0232114342310,Prevenar 13 Prevenar 13,762,,solution for injection; susp. in syringe,0.36,APPROVED,EQUAL,Tomer Sagi,1731333442689,40748485,Streptococcus pneumoniae Injectable Solution [Prevenar 13],Drug,MAPS_TO,no dosage information for this brand,<auto>,1730992740492,
J07BA0232117338541,Japanese encephalitis Ixiaro,139848,,1* 0.5 ml. Adults and children from 3 years of age. Injection; susp. in syringe,0.76,APPROVED,INEXACT,Tomer Sagi,1731057519355,40750628,Japanese encephalitis virus Injection [Ixiaro],Drug,MAPS_TO,No age-specific code in OMOP for Ixiaro,<auto>,1730992740659,
J07BJ01193437,Rubella Rudivax,60,,solution for injection; susp. in syringe,0.39,APPROVED,EQUAL,Tomer Sagi,1731935526704,43207181,Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) Injectable Suspension [RUDIVAX],Drug,MAPS_TO,,<auto>,1730992740879,
J07BC0232117338522,Hepatitis A Vaqta,7,,solution for injection; susp. in syringe,0.81,APPROVED,EQUAL,Tomer Sagi,1731335434533,43264845,0.5 ML Hepatitis A Virus 50 UNT/ML Injection [Vaqta],Drug,MAPS_TO,Branded,Tomer Sagi,1731335423201,
J07BD01193435,Measles monovalent Rouvax,546,,solution for injection; susp. in syringe,0.26,APPROVED,EQUAL,Tomer Sagi,1731336338938,35414622,"0.5 ML MEASLES VIRUS VACCINE,LIVE ATTENUATED 2000 /ML Injectable Suspension [ROUVAX]",Drug,MAPS_TO,Branded,Tomer Sagi,1731336314419,
J07CA020,Di-Te-Ki-Pol revaccination,156358,,,0.18,APPROVED,EQUAL,Tomer Sagi,1731337069678,587834,"acellular pertussis vaccine, inactivated 0.02 MG/ML / diphtheria toxoid vaccine, inactivated 5 LFU/ML / Pertussis Vaccine 0.016 MG/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 20 X / ... Injectable Suspension [Boostrix]",Drug,MAPS_TO,Branded,Tomer Sagi,1731337062651,
J07BK0332130972949,Shingrix Shingrix,28885,,1 * 0.5ml. Adults aged 50 and over. solution for injection; susp. in syringe,0.36,APPROVED,EQUAL,Tomer Sagi,1731395679383,1236083,varicella zoster virus glycoprotein E 0.05 MG Injectable Suspension [Shingrix],Drug,MAPS_TO,"Branded drug , no age information",Tomer Sagi,1731395642051,
J07BC0132117338520,Hepatitis B Engerix-B 10 mikrogram/0;5 ml,25700,,solution for injection; susp. in syringe,0.31,APPROVED,EQUAL,Tomer Sagi,1731395925266,46275244,1 ML hepatitis B surface antigen vaccine 0.02 MG/ML Injection [Engerix-B],Drug,MAPS_TO,Branded Engerix-B ,Tomer Sagi,1731395923390,
J07BK0332130972949,Shingrix Shingrix,10514,,solution for injection; susp. in syringe,0.36,APPROVED,EQUAL,Tomer Sagi,1731396791210,792786,"0.5 ML varicella zoster virus glycoprotein E, recombinant 0.1 MG/ML Injection [Shingrix]",Drug,MAPS_TO,Branded,Tomer Sagi,1731396779966,
J07BC0232117338533,Hepatitis A Epaxal,8093,,solution for injection; susp. in syringe,0.66,APPROVED,EQUAL,Tomer Sagi,1731052695618,36065578,hepatitis A virus Injection [Epaxal],Drug,MAPS_TO,No dosage information found,<auto>,1730992744842,
J07BK020,Varicella zoster,190,,solution for injection; susp. in syringe,0.54,APPROVED,EQUAL,Tomer Sagi,1731397282246,792786,"0.5 ML varicella zoster virus glycoprotein E, recombinant 0.1 MG/ML Injection [Shingrix]",Drug,MAPS_TO,Branded,Tomer Sagi,1731397263977,
J07BA0232117338541,Japanese encephalitis Ixiaro,32409,,solution for injection; susp. in syringe,0.76,APPROVED,EQUAL,Tomer Sagi,1731057524629,40750628,Japanese encephalitis virus Injection [Ixiaro],Drug,MAPS_TO,No dosage information,<auto>,1730992746532,
J07BD510,Measles and mumps combined,151,,solution for injection; susp. in syringe,0.34,APPROVED,EQUIVALENT,Tomer Sagi,1731058974752,40861506,Measles Vaccine / Mumps Vaccine Prefilled Syringe,Drug,MAPS_TO,No brand information. ,Tomer Sagi,1731058960846,
J07BK030,Shingrix,71,,solution for injection; susp. in syringe,0.42,APPROVED,EQUAL,Tomer Sagi,1731397843675,792786,"0.5 ML varicella zoster virus glycoprotein E, recombinant 0.1 MG/ML Injection [Shingrix]",Drug,MAPS_TO,Branded,Tomer Sagi,1731397833940,
J07AL0232114342310,Pneumococcal conjugate Prevenar 13,574,,solution for injection; susp. in syringe,0.49,APPROVED,EQUAL,Tomer Sagi,1731493698529,36266993,Pneumococcal Purified Capsular Polysaccharides Injectable Suspension [Prevenar 13],Drug,MAPS_TO,Branded,Tomer Sagi,1731493692177,
J07BC0132117338520,Hepatitis B Engerix-B 10 mikrogram/0;5 ml,23178,,1 * 0.5ml. Newly born up to and including 15 years injection solution; susp. in syringe,0.31,APPROVED,EQUAL,Tomer Sagi,1731398808292,46275231,0.5 ML hepatitis B surface antigen vaccine 0.02 MG/ML Injection [Engerix-B],Drug,MAPS_TO,Branded. No age information,Tomer Sagi,1731398770356,
J07BC0232117338533,"Hepatitis A Epaxal ""Berna""",484,,solution for injection; susp. in syringe,0.31,APPROVED,WIDER,Tomer Sagi,1731052829535,36065578,hepatitis A virus Injection [Epaxal],Drug,MAPS_TO,no specific code for Berna,<auto>,1730992747512,
J07CA0232117338532,Di-Te-Ki-Pol revaccination DiTeKiPol Booster,273470,,,0.20,APPROVED,EQUIVALENT,Tomer Sagi,1731020427040,41174638,"acellular pertussis vaccine, inactivated / diphtheria toxoid vaccine, inactivated / poliovirus vaccine inactivated, type 1 (Mahoney) / tetanus toxoid vaccine, inactivated Prefilled Syringe [Boostrix]",Drug,MAPS_TO,No brand info,Tomer Sagi,1731020417520,
J07BK02193439,Varicella zoster Zostavax,3045,,solution for injection; susp. in syringe,0.44,APPROVED,EQUAL,Tomer Sagi,1731399706736,792786,"0.5 ML varicella zoster virus glycoprotein E, recombinant 0.1 MG/ML Injection [Shingrix]",Drug,MAPS_TO,Branded,Tomer Sagi,1731399703470,
J07BC0232121026337,Hepatitis A Avaxim,17440,,1 * 0.5ml. Adults from 16 years of age. Injection; susp. in syringe,0.66,APPROVED,EQUAL,Tomer Sagi,1731400886651,43264843,0.5 ML Hepatitis A Virus 320 UNT/ML Injection [Avaxim],Drug,MAPS_TO,Branded,Tomer Sagi,1731400883906,
J07BA020,Japanese encephalitis,11574,,solution for injection; susp. in syringe,0.63,APPROVED,EQUAL,Tomer Sagi,1731057488988,40750628,Japanese encephalitis virus Injection [Ixiaro],Drug,MAPS_TO,No brand info. Assuming this is Ixiaro. ,<auto>,1730992751273,
J07BL0132117338510,Yellow fever Stamaril,137511,,1 * 0.5ml. Adults and children from 9 months. solution for injection; susp. in syringe,0.74,APPROVED,EQUAL,Tomer Sagi,1731401304634,21066243,Yellow Fever Vaccine Injection [Stamaril],Drug,MAPS_TO,No dosage information,<auto>,1730992751525,
J07BC0132117338521,Hepatitis B Engerix-B 20 mikrogram/1 ml,9,,1 * 0.5ml. Newly born up to and including 15 years injection solution; susp. in syringe,0.39,APPROVED,WIDER,Tomer Sagi,1731053277736,46275230,hepatitis B surface antigen vaccine Injection [Engerix-B],Drug,MAPS_TO,no dosage/age info for Engerix,<auto>,1730992751690,
J07BD530,Measles and rubella combined,165,,solution for injection; susp. in syringe,0.43,APPROVED,INEXACT,Tomer Sagi,1731936163066,41236265,Measles Vaccine / Mumps Vaccine / Rubella virus vaccine Prefilled Syringe,Drug,MAPS_TO,No code for only Measles and Rubella found,Tomer Sagi,1731059107339,
J07AL020,Pneumococcal conjugate,1376180,,solution for injection; susp. in syringe,0.44,APPROVED,EQUAL,Tomer Sagi,1731493641039,36274556,Pneumococcal Purified Capsular Polysaccharides Injectable Solution,Drug,MAPS_TO,No brand information,Tomer Sagi,1731493640383,
J07BK02193439,Varicella zoster Zostavax,2971,,1 * 0.65ml. Adults from 50 years or over injection solution; susp. in syringe,0.44,APPROVED,EQUAL,Tomer Sagi,1731401827684,792786,"0.5 ML varicella zoster virus glycoprotein E, recombinant 0.1 MG/ML Injection [Shingrix]",Drug,MAPS_TO,Branded,Tomer Sagi,1731401822651,
J07CA0232117338532,Di-Te-Ki-Pol revaccination DiTeKiPol Booster,7,,,0.20,APPROVED,EQUIVALENT,Tomer Sagi,1731020446272,46276421,"acellular pertussis vaccine, inactivated / diphtheria toxoid vaccine, inactivated / tetanus toxoid vaccine, inactivated Injection [Adacel]",Drug,MAPS_TO,no brand info,Tomer Sagi,1731020434947,
J07BC0232121026337,Hepatitis A Avaxim,1245,,solution for injection; susp. in syringe,0.66,APPROVED,EQUAL,Tomer Sagi,1731402332833,43264843,0.5 ML Hepatitis A Virus 320 UNT/ML Injection [Avaxim],Drug,MAPS_TO,Branded,Tomer Sagi,1731402328197,
J07BD520,MFR,2759645,,solution for injection; susp. in syringe,0.34,APPROVED,EQUAL,Tomer Sagi,1731317477253,41236265,Measles Vaccine / Mumps Vaccine / Rubella virus vaccine Prefilled Syringe,Drug,MAPS_TO,,Tomer Sagi,1731317476431,
J07BL0132117338510,Yellow fever Stamaril,45136,,solution for injection; susp. in syringe,0.74,APPROVED,EQUAL,Tomer Sagi,1731402607800,21066243,Yellow Fever Vaccine Injection [Stamaril],Drug,MAPS_TO,No dosage information,<auto>,1730992755863,
J07BC0132117338521,Hepatitis B Engerix-B 20 mikrogram/1 ml,9,,1 * 0.5ml. Children 0 to and including 15 years. Injection; susp. in syringe,0.39,APPROVED,WIDER,Tomer Sagi,1731053278156,46275230,hepatitis B surface antigen vaccine Injection [Engerix-B],Drug,MAPS_TO,No doshge information for ,<auto>,1730992756090,
J07BA02193438,Japanese encephalitis JE-Vax,1289,,solution for injection; susp. in syringe,0.69,APPROVED,EQUAL,Tomer Sagi,1731404209622,43275892,"0.5 ML Japanese encephalitis virus vaccine, inactivated 0.012 MG/ML Injection [Jespect]",Drug,MAPS_TO,Branded,Tomer Sagi,1731404205771,
J07CA0232123258567,Di-Te-Ki-Pol Tetravac,4498,,,0.21,APPROVED,EQUAL,Tomer Sagi,1731404506384,36281053,"0.5 ML acellular pertussis vaccine, inactivated 0.0936 MG/ML / diphtheria toxoid vaccine, inactivated 60 UNT/ML / Human poliovirus 160 BAU/ML / tetanus toxoid vaccine, inactivated 80 UNT/ML Injectable Suspension [Tetravac]",Drug,MAPS_TO,Branded ,Tomer Sagi,1731404495697,
J07BD5232119159156,MFR M-M-Rvaxpro,763396,,solution for injection; susp. in syringe,0.44,APPROVED,EQUAL,Tomer Sagi,1731317612414,36404258,"Measles Vaccine / Mumps Virus Vaccine Live, Jeryl Lynn Strain / Rubella virus vaccine Injection [M-M-RVAXPRO]",Drug,MAPS_TO,No dosage information,<auto>,1730992757511,
J07BC0232121026337,Hepatitis A Avaxim,21,,1 * 1 ml. Adults from 16 years of age injection; susp. in syringe,0.66,APPROVED,EQUAL,Tomer Sagi,1731404841330,43264843,0.5 ML Hepatitis A Virus 320 UNT/ML Injection [Avaxim],Drug,MAPS_TO,Branded,Tomer Sagi,1731404837544,
J07BK0132114342234,Varicella Varilrix,6808,,solution for injection; susp. in syringe,0.48,APPROVED,EQUAL,Tomer Sagi,1731406295446,36277158,Varicella Virus Vaccine Live (Oka-Merck) strain Injectable Suspension [Varilrix],Drug,MAPS_TO,No dosage information,<auto>,1730992757700,
J07AL020,Pneumococcal vaccination conjugate (PVC),156508,,solution for injection; susp. in syringe,0.31,APPROVED,EQUAL,Tomer Sagi,1731406562522,40831204,Pneumococcal polysaccharide conjugate serotype 6A in CRM197 carrier protein Injectable Solution [Prevnar],Drug,MAPS_TO, No brand information,<auto>,1730992758229,
J07BL010,Yellow fever,7264,,solution for injection; susp. in syringe,0.66,APPROVED,EQUAL,Tomer Sagi,1731406701994,21066243,Yellow Fever Vaccine Injection [Stamaril],Drug,MAPS_TO,No dosage information,<auto>,1730992758911,
J07CA0232123258567,Di-Te-Ki-Pol Tetravac,307,,,0.21,APPROVED,EQUAL,Tomer Sagi,1731020560008,36272252,"acellular pertussis vaccine, inactivated / diphtheria toxoid vaccine, inactivated / Human poliovirus / tetanus toxoid vaccine, inactivated Injectable Suspension [Tetravac]",Drug,MAPS_TO,,Tomer Sagi,1731020558858,
J07BD5232119159156,MFR M-M-Rvaxpro,288356,,1 * 0.5ml. Child 12 months and up. solution for injection; susp. in syringe,0.44,APPROVED,INEXACT,Tomer Sagi,1731317647150,36404258,"Measles Vaccine / Mumps Virus Vaccine Live, Jeryl Lynn Strain / Rubella virus vaccine Injection [M-M-RVAXPRO]",Drug,MAPS_TO,"No dosage info in branded drug form, no Rvaxpro brand in Quant branded drug form",<auto>,1730992760242,
J07BC0132117338521,Hepatitis B Engerix-B 20 mikrogram/1 ml,287830,,solution for injection; susp. in syringe,0.39,APPROVED,WIDER,Tomer Sagi,1731053278569,46275230,hepatitis B surface antigen vaccine Injection [Engerix-B],Drug,MAPS_TO,no dosage/age info for Engerix,<auto>,1730992760310,
J07BC0232121026337,Hepatitis A Avaxim,6,,1* 0.5 ml. Children from 1-17 years injection solution; susp. in syringe,0.66,APPROVED,EQUIVALENT,Tomer Sagi,1731052668771,43264010,Hepatitis A Virus Injection [Avaxim],Drug,MAPS_TO,no specific code for children ,<auto>,1730992760926,
J07BA0232117338541,Japanese encephalitis Ixiaro,1129,,1 * 0.25ml. Children from 2 months to 3 years. injection solution; susp. in syringe,0.76,APPROVED,INEXACT,Tomer Sagi,1731057532978,40750628,Japanese encephalitis virus Injection [Ixiaro],Drug,MAPS_TO,No age-specific code in OMOP for Ixiaro,<auto>,1730992761640,
J07BK0132125583428,Varicella Provarivax,57,,solution for injection; susp. in syringe,0.42,APPROVED,EQUAL,Tomer Sagi,1731422148423,36789544,Varicella Virus Vaccine Live (Oka-Merck) strain Prefilled Syringe [Provarivax],Drug,MAPS_TO,No dosage informatio,<auto>,1730992762433,
J07BL01191319,Yellow fever Stamaril,13,,solution for injection; susp. in syringe,0.74,APPROVED,EQUAL,Tomer Sagi,1731422310471,21066243,Yellow Fever Vaccine Injection [Stamaril],Drug,MAPS_TO,No dosage information,<auto>,1730992763186,
J07BD5232119159156,MFR M-M-RVAXPRO,26,,solution for injection; susp. in syringe,0.44,APPROVED,EQUAL,Tomer Sagi,1731317653529,36404258,"Measles Vaccine / Mumps Virus Vaccine Live, Jeryl Lynn Strain / Rubella virus vaccine Injection [M-M-RVAXPRO]",Drug,MAPS_TO,No dosage information,<auto>,1730992763210,
J07BC0232121026337,Hepatitis A Avaxim,5,,1 * 1 ml. Adults over 17 years. Injection; susp. in syringe,0.66,APPROVED,EQUAL,Tomer Sagi,1731422701519,43264843,0.5 ML Hepatitis A Virus 320 UNT/ML Injection [Avaxim],Drug,MAPS_TO,Branded,Tomer Sagi,1731422699899,
J07AL02170238,Pneumococcal vaccination conjugate (PVC) Prevenar 7,8573,,solution for injection; susp. in syringe,0.32,APPROVED,EQUAL,Tomer Sagi,1731422986567,35770581,pneumococcal capsular polysaccharide type 1 vaccine Injectable Solution [Prevnar],Drug,MAPS_TO,No dosage information,<auto>,1730992764988,
J07BC0132117338521,Hepatitis B Engerix-B 20 mikrogram/1 ml,4280,,1 * 1 ml. Adults from 16 years of age injection; susp. in syringe,0.39,APPROVED,WIDER,Tomer Sagi,1731053278946,46275230,hepatitis B surface antigen vaccine Injection [Engerix-B],Drug,MAPS_TO,no dosage/age info for Engerix,<auto>,1730992765064,
J07CA0232123258567,Di-Te-Ki-Pol revaccination Tetravac,114142,,,0.22,APPROVED,EQUAL,Tomer Sagi,1731482601241,36281053,"0.5 ML acellular pertussis vaccine, inactivated 0.0936 MG/ML / diphtheria toxoid vaccine, inactivated 60 UNT/ML / Human poliovirus 160 BAU/ML / tetanus toxoid vaccine, inactivated 80 UNT/ML Injectable Suspension [Tetravac]",Drug,MAPS_TO,contains polio by Athena,Tomer Sagi,1731482582595,
J07BD5232117338515,MFR Priorix,39372,,solution for injection; susp. in syringe,0.29,APPROVED,EQUAL,Tomer Sagi,1731482832165,43774016,"0.5 ML Measles Virus Vaccine Live, Enders' attenuated Edmonston strain 2000 TCID/ML / Mumps Vaccine 10000 TCID/ML / Rubella virus 2000 TCID/ML Injectable Solution [Priorix]",Drug,MAPS_TO,Branded,Tomer Sagi,1731482819410,
J07BK0132125583428,Varicella Provarivax,34,,1 * 0.5ml. Adults and children from 1 year. Injection; susp. in syringe,0.42,APPROVED,EQUAL,Tomer Sagi,1731482985086,36789544,Varicella Virus Vaccine Live (Oka-Merck) strain Prefilled Syringe [Provarivax],Drug,MAPS_TO,No brand information,<auto>,1730992767220,
J07BA0232114342308,Japanese encephalitis Jap. enc. green Cross,1003,,solution for injection; susp. in syringe,0.37,APPROVED,EQUAL,Tomer Sagi,1731057563771,21119475,"Japanese encephalitis virus vaccine, inactivated Prefilled Syringe [Japanese encephalitis GCVC]",Drug,MAPS_TO,No brand information,Tomer Sagi,1731057557317,
J07BB0332160207347,Fluenz Tetra (nasal spray) Fluenz Tetra; nsespray,126291,,0.2 ml in total sv.t. 0.1 ml in each nostril; children from 24 months up to and including 17 years nasal spray,0.23,APPROVED,EQUAL,Tomer Sagi,1731483338176,43164902,"0.2 ML Influenza A virus vaccine, A-Texas-50-2012 (H3N2)-like virus 50000000 UNT/ML / Influenza B virus vaccine, B-Massachusetts-2-2012-like virus 50000000 UNT/ML / ... Nasal Spray [Fluenz]",Drug,MAPS_TO,Branded,Tomer Sagi,1731483327260,
J07BM0132119159155,Human Papillomavirus types 6; 11; 16; 18 Silgard,83907,,solution for injection; susp. in syringe,0.48,APPROVED,EQUAL,Tomer Sagi,1731054222777,41144528,"L1 protein, Human papillomavirus type 11 Vaccine / L1 protein, Human papillomavirus type 16 Vaccine / L1 protein, Human papillomavirus type 18 Vaccine / L1 protein, Human papillomavirus type 6 Vaccine Prefilled Syringe [Silgard]",Drug,MAPS_TO,No brand information,<auto>,1730992768807,
J07BC0132117338521,Hepatitis B Engerix-B 20 mikrogram/1 ml,14,,1 * 1 ml. Adults from 16 years of age. Injection; susp. in syringe,0.39,APPROVED,WIDER,Tomer Sagi,1731053279330,46275230,hepatitis B surface antigen vaccine Injection [Engerix-B],Drug,MAPS_TO,no dosage/age info for Engerix,<auto>,1730992769682,
J07BD5232120307271,MFR MMR,2803,,solution for injection; susp. in syringe,0.24,APPROVED,EQUAL,Tomer Sagi,1731317596912,41236265,Measles Vaccine / Mumps Vaccine / Rubella virus vaccine Prefilled Syringe,Drug,MAPS_TO,No brand information,Tomer Sagi,1731317593714,
J07BB0332160207347,Fluenz Tetra (nasal spray) Fluenz Tetra; nsespray,107849,,nasal spray,0.23,APPROVED,EQUAL,Tomer Sagi,1731484552624,43164902,"0.2 ML Influenza A virus vaccine, A-Texas-50-2012 (H3N2)-like virus 50000000 UNT/ML / Influenza B virus vaccine, B-Massachusetts-2-2012-like virus 50000000 UNT/ML / ... Nasal Spray [Fluenz]",Drug,MAPS_TO,Branded,Tomer Sagi,1731484548816,
J07BK0132129971747,Varicella Varivax,17244,,1 * 0.5ml. Adults and children from 9 months. solution for injection; susp. in syringe,0.42,APPROVED,EQUAL,Tomer Sagi,1731935153027,35414564,0.5 ML Varicella Virus Vaccine Live (Oka-Merck) strain 2700 UNT/ML Injectable Suspension [Varivax],Drug,MAPS_TO,Branded,Tomer Sagi,1731935151723,
J07CA0232123258567,Di-Te-Ki-Pol revaccination Tetravac,94965,,,0.22,APPROVED,EQUAL,Tomer Sagi,1731487567543,36281053,"0.5 ML acellular pertussis vaccine, inactivated 0.0936 MG/ML / diphtheria toxoid vaccine, inactivated 60 UNT/ML / Human poliovirus 160 BAU/ML / tetanus toxoid vaccine, inactivated 80 UNT/ML Injectable Suspension [Tetravac]",Drug,MAPS_TO,Branded,Tomer Sagi,1731487565914,
J07AL02170238,Pneumococcal vaccination conjugate (PCV) Prevenar 7,162,,solution for injection; susp. in syringe,0.33,APPROVED,EQUAL,Tomer Sagi,1731487910036,35770581,pneumococcal capsular polysaccharide type 1 vaccine Injectable Solution [Prevnar],Drug,MAPS_TO,No brand information,<auto>,1730992772112,
J07BC0132117338521,Hepatitis B Engerix-B 20 mikrogram/1 ml,25,,1 * 0.5 ml solution for injection; susp. in syringe,0.39,APPROVED,EQUAL,Tomer Sagi,1731488054402,46275244,1 ML hepatitis B surface antigen vaccine 0.02 MG/ML Injection [Engerix-B],Drug,MAPS_TO,no dosage/age info for Engerix,Tomer Sagi,1731488024677,
J07BC200,Hepatitis A and B combinations,24987,,solution for injection; susp. in syringe,0.37,APPROVED,EQUAL,Tomer Sagi,1731052469383,36065572,hepatitis A virus / hepatitis B surface antigen vaccine Injectable Suspension [Ambirix],Drug,MAPS_TO,Unknown branding,Tomer Sagi,1731052311846,
J07BM0132117338539,Human Papillomavirus types 6; 11; 16; 18 Gardasil,231333,,solution for injection; susp. in syringe,0.54,APPROVED,EQUAL,Tomer Sagi,1731488585793,529079,"0.5 ML L1 protein, human papillomavirus type 11 vaccine 0.08 MG/ML / L1 protein, human papillomavirus type 16 vaccine 0.08 MG/ML / L1 protein, human papillomavirus type 18 vaccine 0.04 MG/ML / L1 protein, human papillomavirus type 6 vaccine 0.04 MG/ML...",Drug,MAPS_TO,Branded,Tomer Sagi,1731488575360,
J07BB030,Fluenz Tetra (nasal spray),115,,nasal spray,0.27,APPROVED,EQUAL,Tomer Sagi,1731489193423,43164902,"0.2 ML Influenza A virus vaccine, A-Texas-50-2012 (H3N2)-like virus 50000000 UNT/ML / Influenza B virus vaccine, B-Massachusetts-2-2012-like virus 50000000 UNT/ML / ... Nasal Spray [Fluenz]",Drug,MAPS_TO,Branded,Tomer Sagi,1731489183852,
