source_description;source_code;standard_concept_id;standard_concept_name;notes
PV;PV;4057765;Vaginal use;
Intracervikalanvendelse;IC;4186835;Intracervical use;
CB;0;0;;Not found
Tilanvendelseibihulerne;0;0;;Not found
Oftalmiskanvendelse;OP;4184451;Ophthalmic use;
LF;0;0;;Not found
Intrabrokialanvendelse;IB;4303263;Intrabronchial use;
FA;0;0;;Not found
DI;0;0;;Not found
CE;0;0;;Not found
