sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:orig,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
KNHT19,Forcible manipulation of joint of ankle or foot,-1,,Charlotte,0.71,APPROVED,INEXACT,SBRU,1727703063949,44790202,Manipulation of ankle and foot - non-surgical,Procedure,MAPS_TO,,SBRU,1727703022241,
KTNB1G,Hard prefabricated bandage knee joint and lower leg,-1,,Charlotte,0.42,APPROVED,WIDER,SBRU,1727695164426,4041643,Application of cast,Procedure,MAPS_TO,,SBRU,1727694943797,
KTNB1G,Hard prefabricated bandage knee joint and lower leg,-1,,Charlotte,0.42,APPROVED,WIDER,SBRU,1727695164426,4111908,Entire knee joint,Spec Anatomic Site,MAPS_TO,,SBRU,1727695106582,
KTNB1G,Hard prefabricated bandage knee joint and lower leg,-1,,Charlotte,0.42,APPROVED,WIDER,SBRU,1727695164426,4309933,Entire left lower leg,Spec Anatomic Site,MAPS_TO,,SBRU,1727695126753,
KTNB1G,Hard prefabricated bandage knee joint and lower leg,-1,,Charlotte,0.42,APPROVED,WIDER,SBRU,1727695164426,4309471,Entire right lower leg,Spec Anatomic Site,MAPS_TO,,SBRU,1727695158110,
KTND0H,Removal of bandage/ext. stretch ankle region and foot,-1,,Charlotte,0.43,APPROVED,INEXACT,SBRU,1727418270959,2788187,Removal of Bandage on Left Foot,Procedure,MAPS_TO,,<auto>,1727171675962,
KTND0H,Removal of bandage/ext. stretch ankle region and foot,-1,,Charlotte,0.43,APPROVED,INEXACT,SBRU,1727418270959,2788178,Removal of Bandage on Right Foot,Procedure,MAPS_TO,,SBRU,1727418253930,
KTNB0D,Soft bandage wrist and hand,-1,,Charlotte,0.67,APPROVED,WIDER,SBRU,1727693398167,37114015,Entire wrist and hand,Spec Anatomic Site,MAPS_TO,,<auto>,1727171676044,
KTNB0D,Soft bandage wrist and hand,-1,,Charlotte,0.67,APPROVED,WIDER,SBRU,1727693398167,4080807,Application of bandage,Procedure,MAPS_TO,,SBRU,1727693394655,
KNFF31,Partial excision of joint cartilage of hip joint\\ arthroscopic,-1,,Charlotte,0.51,APPROVED,WIDER,SBRU,1727948024117,4288878,Arthroscopy of hip,Procedure,MAPS_TO,,SBRU,1727947943840,
KNGL39,Myotomy or tenotomy of knee or lower leg with or without excision,-1,,Charlotte,0.48,APPROVED,INEXACT,SBRU,1727956136058,4075293,Incision of muscle,Procedure,MAPS_TO,,SBRU,1727704747895,
KNGL39,Myotomy or tenotomy of knee or lower leg with or without excision,-1,,Charlotte,0.48,APPROVED,INEXACT,SBRU,1727956136058,4141432,Incision of tendon,Procedure,MAPS_TO,,SBRU,1727704766336,
KNGL39,Myotomy or tenotomy of knee or lower leg with or without excision,-1,,Charlotte,0.48,APPROVED,INEXACT,SBRU,1727956136058,4268896,Operative procedure on knee,Procedure,MAPS_TO,,SBRU,1727956096470,
KNGL39,Myotomy or tenotomy of knee or lower leg with or without excision,-1,,Charlotte,0.48,APPROVED,INEXACT,SBRU,1727956136058,4184453,Operative procedure on lower leg,Procedure,MAPS_TO,,SBRU,1727956117394,
KNGH72B,Operation for habitual dislocation of knee joint\\ open,-1,,Charlotte,0.54,APPROVED,WIDER,SBRU,1727954819310,4079526,Knee joint operation,Procedure,MAPS_TO,,SBRU,1727953834366,
KMCA11,Sectio caesarea (isthmus uteri) ante partum not acute delivery,-1,,Charlotte,0.49,APPROVED,EQUIVALENT,SBRU,1727183695101,4075182,Elective cesarean section,Procedure,MAPS_TO,,SBRU,1727183652661,
KKEV31,Implantation of material in prostata,-1,,Charlotte,0.56,APPROVED,WIDER,SBRU,1727176808320,44803176,Introduction of gold seeds into organ NOC,Procedure,MAPS_TO,,SBRU,1727176795331,
KJHW99,Operation on the anus and perianal tissue second,-1,,Charlotte,0.52,APPROVED,INEXACT,SBRU,1727334833195,4087575,Operation on anus,Procedure,MAPS_TO,,SBRU,1727334694658,
KJHW99,Operation on the anus and perianal tissue second,-1,,Charlotte,0.52,APPROVED,INEXACT,SBRU,1727334833195,4042817,Procedure on perianal tissue,Procedure,MAPS_TO,,SBRU,1727334805017,
KFXB96,By-pass partial cardio-pulm m reparative surgical procedure,-1,,Charlotte,0.44,APPROVED,WIDER,SBRU,1727336323401,4272324,Cardiopulmonary bypass operation,Procedure,MAPS_TO,,SBRU,1727334945882,
KNFH51,Excision of intraarticular exostosis or osteophyte of hip joint\\ arthroscopic,-1,,Charlotte,0.44,APPROVED,WIDER,SBRU,1727953543162,4288878,Arthroscopy of hip,Procedure,MAPS_TO,,SBRU,1727953536226,
KNHK59,Osteotomy in ankle or foot without specification,-1,,Charlotte,0.46,APPROVED,INEXACT,SBRU,1727703523989,4074271,Osteotomy of bone of foot,Procedure,MAPS_TO,,SBRU,1727703514524,
KTNB0C,Soft bandage elbow joint and forearm etc.,-1,,Charlotte,0.57,APPROVED,WIDER,SBRU,1727693677104,4061414,Elbow joint structure,Spec Anatomic Site,MAPS_TO,,<auto>,1727171676656,
KTNB0C,Soft bandage elbow joint and forearm etc.,-1,,Charlotte,0.57,APPROVED,WIDER,SBRU,1727693677104,4080807,Application of bandage,Procedure,MAPS_TO,,SBRU,1727693370640,
KTNB0C,Soft bandage elbow joint and forearm etc.,-1,,Charlotte,0.57,APPROVED,WIDER,SBRU,1727693677104,4180347,Entire forearm,Spec Anatomic Site,MAPS_TO,,SBRU,1727693661186,
KNBH72,Operation for habitual dislocation of humero-scapular joint\\ open,-1,,Charlotte,0.47,APPROVED,NARROWER,SBRU,1727339423904,4076875,Operation on shoulder joint,Procedure,MAPS_TO,,SBRU,1727338878924,
KNBH72,Operation for habitual dislocation of humero-scapular joint\\ open,-1,,Charlotte,0.47,APPROVED,NARROWER,SBRU,1727339423904,2771223,"Repair Left Shoulder Joint, Open Approach",Procedure,MAPS_TO,,SBRU,1727339198361,
KNBH72,Operation for habitual dislocation of humero-scapular joint\\ open,-1,,Charlotte,0.47,APPROVED,NARROWER,SBRU,1727339423904,2771219,"Repair Right Shoulder Joint, Open Approach",Procedure,MAPS_TO,,SBRU,1727339419656,
KNCJ06,Closed reduction of fracture of elbow or forearm\\ body of ulna and radius,-1,,Charlotte,0.51,APPROVED,EQUAL,SBRU,1727340985534,4141118,Closed reduction of fracture of radius and ulna,Procedure,MAPS_TO,,SBRU,1727340963575,
KTNB1D,Hard prefabricated bandage wrist and hand,-1,,Charlotte,0.54,APPROVED,WIDER,SBRU,1727694932736,37114015,Entire wrist and hand,Spec Anatomic Site,MAPS_TO,,<auto>,1727171677071,
KTNB1D,Hard prefabricated bandage wrist and hand,-1,,Charlotte,0.54,APPROVED,WIDER,SBRU,1727694932736,4041643,Application of cast,Procedure,MAPS_TO,,SBRU,1727694848351,
KTAC15,Analgesia infiltration,-1,,Charlotte,0.7,APPROVED,WIDER,SBRU,1727702658958,4200997,Administration of analgesic,Procedure,MAPS_TO,,SBRU,1727702573954,
KNBH71,Operation for habitual dislocation of humero-scapular joint\\ arthroscopic,-1,,Charlotte,0.46,APPROVED,WIDER,SBRU,1727338849558,45889890,Arthroscopy shoulder surgical,Procedure,MAPS_TO,,SBRU,1727338080435,
KUDQ30,Otomicroscopy/ear microscopy,-1,,Charlotte,0.46,APPROVED,EQUIVALENT,SBRU,1727357692450,4334402,Examination of ear under microscope,Procedure,MAPS_TO,,SBRU,1727357578607,
KNET49,Correction of deformity of joint of pelvis using external or internal fixation,-1,,Charlotte,0.61,APPROVED,INEXACT,SBRU,1727701877081,40486659,External fixation of pelvis,Procedure,MAPS_TO,,<auto>,1727171678347,
KNET49,Correction of deformity of joint of pelvis using external or internal fixation,-1,,Charlotte,0.61,APPROVED,INEXACT,SBRU,1727701877081,4131649,Internal pelvic fixation of bone,Procedure,MAPS_TO,,SBRU,1727701782389,
KTXA12,Bone marrow biopsy crista iliaca,-1,,Charlotte,0.76,APPROVED,EQUIVALENT,SBRU,1727702332225,4120443,Bone marrow sampling,Procedure,MAPS_TO,,<auto>,1727171678365,
KTXA12,Bone marrow biopsy crista iliaca,-1,,Charlotte,0.76,APPROVED,EQUIVALENT,SBRU,1727702332225,2738874,"Extraction of Iliac Bone Marrow, Percutaneous Approach, Diagnostic",Procedure,MAPS_TO,,SBRU,1727358850158,
KTXA12,Bone marrow biopsy crista iliaca,-1,,Charlotte,0.76,APPROVED,EQUIVALENT,SBRU,1727702332225,2738872,"Extraction of Iliac Bone Marrow, Open Approach, Diagnostic",Procedure,MAPS_TO,,SBRU,1727358899654,
KNHK19,Resection or excision of bone tissue in ankle or foot without specification,-1,,Charlotte,0.49,APPROVED,EQUIVALENT,SBRU,1727704508610,4043030,Procedure on foot,Procedure,MAPS_TO,,SBRU,1727704400825,
KNHK19,Resection or excision of bone tissue in ankle or foot without specification,-1,,Charlotte,0.49,APPROVED,EQUIVALENT,SBRU,1727704508610,4043029,Procedure on ankle,Procedure,MAPS_TO,,SBRU,1727704424290,
KNHK19,Resection or excision of bone tissue in ankle or foot without specification,-1,,Charlotte,0.49,APPROVED,EQUIVALENT,SBRU,1727704508610,4194240,Excision of exostosis of bone,Procedure,MAPS_TO,,SBRU,1727704505969,
KNFH91B,Other operation on hip joint\\ arthroscopic,-1,,Charlotte,0.5,APPROVED,EQUIVALENT,SBRU,1727953685690,4288878,Arthroscopy of hip,Procedure,MAPS_TO,,SBRU,1727953574713,
KNHK59,Osteotomy in ankle or foot without specification,-1,,Charlotte,0.46,APPROVED,INEXACT,SBRU,1727703567517,4074271,Osteotomy of bone of foot,Procedure,MAPS_TO,,SBRU,1727703560645,
KZZA11,Transplant (free) split skin graft,-1,,Charlotte,0.58,APPROVED,EQUIVALENT,SBRU,1727357937455,2006555,Free skin graft,Procedure,MAPS_TO,,<auto>,1727171679407,
KTNB9H,Other bandaging ankle and foot,-1,,Charlotte,0.67,APPROVED,EQUIVALENT,SBRU,1727690350574,37115079,Entire ankle and foot,Spec Anatomic Site,MAPS_TO,,<auto>,1727171679580,
KTNB9H,Other bandaging ankle and foot,-1,,Charlotte,0.67,APPROVED,EQUIVALENT,SBRU,1727690350574,4080807,Application of bandage,Procedure,MAPS_TO,,SBRU,1727690278283,
KTNB3H,Circular bandage modelable material. ankle and foot,-1,,Charlotte,0.48,APPROVED,WIDER,SBRU,1727691771116,4080807,Application of bandage,Procedure,MAPS_TO,,SBRU,1727691454337,
KTNB3H,Circular bandage modelable material. ankle and foot,-1,,Charlotte,0.48,APPROVED,WIDER,SBRU,1727691771116,37115079,Entire ankle and foot,Spec Anatomic Site,MAPS_TO,,SBRU,1727691764355,
KTNB9D,Other bandaging wrist and hand,-1,,Charlotte,0.62,APPROVED,EQUIVALENT,SBRU,1727690393058,37114015,Entire wrist and hand,Spec Anatomic Site,MAPS_TO,,<auto>,1727171679612,
KTNB9D,Other bandaging wrist and hand,-1,,Charlotte,0.62,APPROVED,EQUIVALENT,SBRU,1727690393058,4080807,Application of bandage,Procedure,MAPS_TO,,SBRU,1727690389815,
KTNB9X,Other bandages unspecified region,-1,,Charlotte,0.67,APPROVED,EQUIVALENT,SBRU,1727691002276,4080807,Application of bandage,Procedure,MAPS_TO,,SBRU,1727690369230,
KTNB2C,Rail made of modelable material elbow joint/un.arm,-1,,Charlotte,0.46,APPROVED,WIDER,SBRU,1727697046736,4194049,Application of splint,Procedure,MAPS_TO,,SBRU,1727696426265,
KTNB2C,Rail made of modelable material elbow joint/un.arm,-1,,Charlotte,0.46,APPROVED,WIDER,SBRU,1727697046736,4180347,Entire forearm,Spec Anatomic Site,MAPS_TO,,SBRU,1727696951694,
KTNB2C,Rail made of modelable material elbow joint/un.arm,-1,,Charlotte,0.46,APPROVED,WIDER,SBRU,1727697046736,4080222,Entire elbow joint,Spec Anatomic Site,MAPS_TO,,SBRU,1727697008805,
KTNB2D,Splint of modelable material wrist and hand,-1,,Charlotte,0.55,APPROVED,WIDER,SBRU,1727694127296,37114015,Entire wrist and hand,Spec Anatomic Site,MAPS_TO,,<auto>,1727171680632,
KTNB2D,Splint of modelable material wrist and hand,-1,,Charlotte,0.55,APPROVED,WIDER,SBRU,1727694127296,4194049,Application of splint,Procedure,MAPS_TO,,SBRU,1727694122861,
KNFH51,Excision of intraarticular exostosis or osteophyte of hip joint\\ arthroscopic,-1,,Charlotte,0.44,APPROVED,WIDER,SBRU,1727953528391,4288878,Arthroscopy of hip,Procedure,MAPS_TO,,SBRU,1727953525180,
KNCJ56,Internal fixation of fracture of elbow or forearm using intramedullary nail\\ body of ulna and radius,-1,,Charlotte,0.52,APPROVED,EQUIVALENT,SBRU,1727702084450,4107444,Internal fixation using intramedullary nail,Procedure,MAPS_TO,,<auto>,1727171680783,
KNCJ56,Internal fixation of fracture of elbow or forearm using intramedullary nail\\ body of ulna and radius,-1,,Charlotte,0.52,APPROVED,EQUIVALENT,SBRU,1727702084450,4227911,Intramedullary nailing of ulna,Procedure,MAPS_TO,,SBRU,1727347869275,
KNCJ56,Internal fixation of fracture of elbow or forearm using intramedullary nail\\ body of ulna and radius,-1,,Charlotte,0.52,APPROVED,EQUIVALENT,SBRU,1727702084450,4244871,Intramedullary nailing of radius,Procedure,MAPS_TO,,SBRU,1727347906766,
KTND0X,Removal of bandage/ext. stretch unspecified,-1,,Charlotte,0.41,APPROVED,WIDER,SBRU,1727694494305,4224217,Cotton stretch bandage,Device,MAPS_TO,,<auto>,1727171681064,
KTND0X,Removal of bandage/ext. stretch unspecified,-1,,Charlotte,0.41,APPROVED,WIDER,SBRU,1727694494305,45876258,Unspecified,Meas Value,MAPS_TO,,SBRU,1727694493181,
KTPW10,Insertion of vascular injection port,-1,,Charlotte,0.71,APPROVED,EQUAL,SBRU,1727358963574,4181966,Insertion of catheter into blood vessel,Procedure,MAPS_TO,,<auto>,1727171681247,
KTXA02,Bone marrow aspiration crista iliaca,-1,,Charlotte,0.77,APPROVED,EQUIVALENT,SBRU,1727702370448,4174208,Bone marrow aspiration procedure,Procedure,MAPS_TO,,<auto>,1727171681299,
KTXA02,Bone marrow aspiration crista iliaca,-1,,Charlotte,0.77,APPROVED,EQUIVALENT,SBRU,1727702370448,4084813,"Bone marrow aspiration procedure, anterior iliac crest",Procedure,MAPS_TO,,SBRU,1727358588418,
KTXA02,Bone marrow aspiration crista iliaca,-1,,Charlotte,0.77,APPROVED,EQUIVALENT,SBRU,1727702370448,4175488,"Bone marrow aspiration procedure, posterior iliac crest",Procedure,MAPS_TO,,SBRU,1727358590984,
KTXA02,Bone marrow aspiration crista iliaca,-1,,Charlotte,0.77,APPROVED,EQUIVALENT,SBRU,1727702370448,4125485,Iliac crest aspiration,Procedure,MAPS_TO,,SBRU,1727358734572,
KTND0D,Removal of bandage/ext. stretch wrist region and hand,-1,,Charlotte,0.4,APPROVED,EQUIVALENT,SBRU,1727690983092,2783362,Removal of Bandage on Right Hand,Procedure,MAPS_TO,,SBRU,1727689799487,
KTND0D,Removal of bandage/ext. stretch wrist region and hand,-1,,Charlotte,0.4,APPROVED,EQUIVALENT,SBRU,1727690983092,2792188,Removal of Bandage on Left Hand,Procedure,MAPS_TO,,SBRU,1727689805280,
KTNB2G,Splint of modelable material knee joint/un.leg,-1,,Charlotte,0.43,APPROVED,WIDER,SBRU,1727694363337,4194049,Application of splint,Procedure,MAPS_TO,,SBRU,1727694139754,
KTNB2G,Splint of modelable material knee joint/un.leg,-1,,Charlotte,0.43,APPROVED,WIDER,SBRU,1727694363337,4111908,Entire knee joint,Spec Anatomic Site,MAPS_TO,,SBRU,1727694191922,
KTNB2G,Splint of modelable material knee joint/un.leg,-1,,Charlotte,0.43,APPROVED,WIDER,SBRU,1727694363337,4309933,Entire left lower leg,Spec Anatomic Site,MAPS_TO,,SBRU,1727694318136,
KTNB2G,Splint of modelable material knee joint/un.leg,-1,,Charlotte,0.43,APPROVED,WIDER,SBRU,1727694363337,4309471,Entire right lower leg,Spec Anatomic Site,MAPS_TO,,SBRU,1727694345146,
KNET49,Correction of deformity of joint of pelvis using external or internal fixation,-1,,Charlotte,0.61,APPROVED,INEXACT,SBRU,1727701979659,40486659,External fixation of pelvis,Procedure,MAPS_TO,,<auto>,1727171682131,
KNET49,Correction of deformity of joint of pelvis using external or internal fixation,-1,,Charlotte,0.61,APPROVED,INEXACT,SBRU,1727701979659,4131649,Internal pelvic fixation of bone,Procedure,MAPS_TO,,SBRU,1727701965250,
KMCA12B,Sect. caesar. (isthmus uteri) in partu due to birth complications.,-1,,Charlotte,0.4,APPROVED,EQUIVALENT,SBRU,1727183904138,4167089,Emergency cesarean section,Procedure,MAPS_TO,,SBRU,1727183896517,
KTNB3D,Circular bandage modelable material wrist and hand,-1,,Charlotte,0.5,APPROVED,WIDER,SBRU,1727691900027,37114015,Entire wrist and hand,Spec Anatomic Site,MAPS_TO,,<auto>,1727171682469,
KTNB3D,Circular bandage modelable material wrist and hand,-1,,Charlotte,0.5,APPROVED,WIDER,SBRU,1727691900027,4080807,Application of bandage,Procedure,MAPS_TO,,SBRU,1727691891645,
KTNB2H,Splint of modelable material ankle joint and foot,-1,,Charlotte,0.68,APPROVED,WIDER,SBRU,1727694398845,37115476,Entire joint of ankle and foot,Spec Anatomic Site,MAPS_TO,,<auto>,1727171682681,
KTNB2H,Splint of modelable material ankle joint and foot,-1,,Charlotte,0.68,APPROVED,WIDER,SBRU,1727694398845,4194049,Application of splint,Procedure,MAPS_TO,,SBRU,1727694147773,
KTNB3G,Circular bandage modelable material. knee joint and lower leg,-1,,Charlotte,0.4,APPROVED,WIDER,SBRU,1727693216797,4080807,Application of bandage,Procedure,MAPS_TO,,SBRU,1727691872558,
KTNB3G,Circular bandage modelable material. knee joint and lower leg,-1,,Charlotte,0.4,APPROVED,WIDER,SBRU,1727693216797,4111908,Entire knee joint,Spec Anatomic Site,MAPS_TO,,SBRU,1727691980436,
KTNB3G,Circular bandage modelable material. knee joint and lower leg,-1,,Charlotte,0.4,APPROVED,WIDER,SBRU,1727693216797,4309933,Entire left lower leg,Spec Anatomic Site,MAPS_TO,,SBRU,1727693193862,
KTNB3G,Circular bandage modelable material. knee joint and lower leg,-1,,Charlotte,0.4,APPROVED,WIDER,SBRU,1727693216797,4309471,Entire right lower leg,Spec Anatomic Site,MAPS_TO,,SBRU,1727693203713,
KTNB2X,Splint made of modelable material unspecified. region,-1,,Charlotte,0.46,APPROVED,WIDER,SBRU,1727694478186,4194049,Application of splint,Procedure,MAPS_TO,,SBRU,1727694157171,
KTNB2X,Splint made of modelable material unspecified. region,-1,,Charlotte,0.46,APPROVED,WIDER,SBRU,1727694478186,45876258,Unspecified,Meas Value,MAPS_TO,,SBRU,1727694476706,
KTNB3X,Circular bandage modelable material unspecified. region,-1,,Charlotte,0.43,APPROVED,WIDER,SBRU,1727691023238,4080807,Application of bandage,Procedure,MAPS_TO,,SBRU,1727690793088,
KNCJ46,Internal fixation of fracture of elbow or forearm using wire rod cerclage or pin\\ body of ulna and radius,-1,,Charlotte,0.43,APPROVED,EQUIVALENT,SBRU,1727702111549,4222173,Internal fixation of bone of ulna,Procedure,MAPS_TO,,SBRU,1727343344215,
KNCJ46,Internal fixation of fracture of elbow or forearm using wire rod cerclage or pin\\ body of ulna and radius,-1,,Charlotte,0.43,APPROVED,EQUIVALENT,SBRU,1727702111549,4071089,Internal fixation of bone of radius,Procedure,MAPS_TO,,SBRU,1727347404433,
KNCJ46,Internal fixation of fracture of elbow or forearm using wire rod cerclage or pin\\ body of ulna and radius,-1,,Charlotte,0.43,APPROVED,EQUIVALENT,SBRU,1727702111549,4343477,Fixation of fracture using wire,Procedure,MAPS_TO,,SBRU,1727347572560,
KNCJ46,Internal fixation of fracture of elbow or forearm using wire rod cerclage or pin\\ body of ulna and radius,-1,,Charlotte,0.43,APPROVED,EQUIVALENT,SBRU,1727702111549,4343340,Fixation of fracture using pins,Procedure,MAPS_TO,,SBRU,1727347580110,
KNCJ56,Internal fixation of fracture of elbow or forearm using intramedullary nail\\ body of ulna and radius,-1,,Charlotte,0.52,APPROVED,EQUIVALENT,SBRU,1727702092902,4107444,Internal fixation using intramedullary nail,Procedure,MAPS_TO,,<auto>,1727171686704,
KNCJ56,Internal fixation of fracture of elbow or forearm using intramedullary nail\\ body of ulna and radius,-1,,Charlotte,0.52,APPROVED,EQUIVALENT,SBRU,1727702092902,4227911,Intramedullary nailing of ulna,Procedure,MAPS_TO,,SBRU,1727348055761,
KNCJ56,Internal fixation of fracture of elbow or forearm using intramedullary nail\\ body of ulna and radius,-1,,Charlotte,0.52,APPROVED,EQUIVALENT,SBRU,1727702092902,4244871,Intramedullary nailing of radius,Procedure,MAPS_TO,,SBRU,1727348104197,
KNCJ46,Internal fixation of fracture of elbow or forearm using wire rod cerclage or pin\\ body of ulna and radius,-1,,Charlotte,0.43,APPROVED,EQUIVALENT,SBRU,1727702117450,4276183,Closed reduction of fracture of radius AND ulna with internal fixation,Procedure,MAPS_TO,,<auto>,1727171688171,
KLAF01,Unmapped,17082,,Finland,0.28,APPROVED,EQUAL,SBRU,1732011335604,40488381,Laparoscopic salpingo-oophorectomy,Procedure,MAPS_TO,,SBRU,1730450566604,
KCJB10,Unmapped,166145,,Finland,0.28,APPROVED,EQUAL,SBRU,1730988424462,4333161,Laser capsulotomy of lens capsule,Procedure,MAPS_TO,,SBRU,1730452034231,
KCJB10,Unmapped,166145,,Finland,0.28,APPROVED,EQUAL,SBRU,1730988424462,4067123,YAG laser capsulotomy of lens,Procedure,MAPS_TO,,SBRU,1730988420873,
KTQW20,Tattooing,32645,,Finland,1.0,APPROVED,EQUAL,SBRU,1732041773881,4147691,Removal of suture,Procedure,MAPS_TO,DK source term suturfjernelse,SBRU,1731924920072,
KLCD00,Hysterectomy,73280,,Finland,1.0,APPROVED,EQUAL,SBRU,1732011937424,4127886,Hysterectomy,Procedure,MAPS_TO,,<auto>,1729857073762,
KUKB02,Ureteroscopy,22269,,Finland,1.0,APPROVED,EQUAL,SBRU,1732041868986,4301429,Ureteroscopy,Procedure,MAPS_TO,,<auto>,1729857073785,
KUJG02,Proctoscopy,305020,,Finland,1.0,APPROVED,EQUAL,SBRU,1732041868986,4171571,Proctoscopy,Procedure,MAPS_TO,,<auto>,1729857073830,
KJKA20,Cholecystectomy,24955,,Finland,1.0,APPROVED,EQUAL,SBRU,1732009150173,4242997,Cholecystectomy,Procedure,MAPS_TO,,<auto>,1729857073843,
KHAC20,Simple mastectomy,31549,,Finland,1.0,APPROVED,EQUAL,SBRU,1731940977189,4066543,Simple mastectomy,Procedure,MAPS_TO,,SBRU,1731940975847,
KUJC02,Rigid esophagoscopy,21552,,Finland,1.0,APPROVED,EQUAL,SBRU,1732041868986,4124526,Rigid esophagoscopy,Procedure,MAPS_TO,,<auto>,1729857074083,
KEMA00,Incision of tonsil,20705,,Finland,1.0,APPROVED,EQUAL,SBRU,1731939149100,4249180,Incision of tonsil,Procedure,MAPS_TO,,<auto>,1729857074123,
KKFA40,Incision of scrotum,8410,,Finland,1.0,APPROVED,EQUAL,SBRU,1732010417477,4226178,Incision of scrotum,Procedure,MAPS_TO,,<auto>,1729857074176,
KKFA40,Incision of scrotum,8410,,Finland,1.0,APPROVED,EQUAL,SBRU,1732010417477,3173772,Incision and drainage of scrotal abscess,Procedure,MAPS_TO,,SBRU,1732010412816,
KUGC12,Fiberoptic bronchoscopy,156094,,Finland,1.0,APPROVED,EQUAL,SBRU,1732041940937,37153077,Flexible fiberoptic esophagoscopy,Procedure,MAPS_TO,DK source term Fleksibel øsofagoskopi,SBRU,1732041937721,
